subtype,and_or,by_phrase,causal,complement_clause,conditional,contrast,dative_passive,existential_no,get_passive,inference,lexical_not_adj,morphological_neg,never,no_agent,possessive_chain,pp_chain,relative_clause,scope_quantifier,syntactic_do_not
and_or,1.000000,0.953576,0.997117,0.876711,0.994784,0.995869,0.953258,0.994135,0.978731,0.937979,0.974677,0.969436,0.978153,0.951886,0.977206,0.895992,0.977999,0.977153,0.978641
by_phrase,0.953576,1.000000,0.951501,0.927286,0.949829,0.951069,0.998259,0.949261,0.981113,0.934899,0.975419,0.967718,0.977596,0.901659,0.980181,0.947625,0.979658,0.977789,0.978435
causal,0.997117,0.951501,1.000000,0.876369,0.996908,0.997419,0.951580,0.995119,0.977326,0.941331,0.972923,0.970150,0.976476,0.953104,0.976095,0.895092,0.976183,0.975948,0.977183
complement_clause,0.876711,0.927286,0.876369,1.000000,0.879190,0.876341,0.929460,0.871404,0.918102,0.818344,0.907766,0.875050,0.914452,0.797959,0.916530,0.859438,0.914975,0.915046,0.916475
conditional,0.994784,0.949829,0.996908,0.879190,1.000000,0.996468,0.952796,0.993119,0.975923,0.943521,0.970728,0.965506,0.976063,0.954654,0.974653,0.896872,0.974811,0.975681,0.976040
contrast,0.995869,0.951069,0.997419,0.876341,0.996468,1.000000,0.951316,0.995985,0.976583,0.942079,0.973947,0.970474,0.977331,0.953505,0.976863,0.895974,0.976973,0.976657,0.976361
dative_passive,0.953258,0.998259,0.951580,0.929460,0.952796,0.951316,1.000000,0.948746,0.980083,0.938696,0.973285,0.966204,0.978431,0.901628,0.978585,0.947940,0.978257,0.978282,0.979121
existential_no,0.994135,0.949261,0.995119,0.871404,0.993119,0.995985,0.948746,1.000000,0.975161,0.933784,0.976916,0.974324,0.978292,0.946920,0.976463,0.890345,0.977081,0.977327,0.976521
get_passive,0.978731,0.981113,0.977326,0.918102,0.975923,0.976583,0.980083,0.975161,1.000000,0.932906,0.994273,0.953630,0.996535,0.944155,0.998808,0.936519,0.998120,0.996831,0.997098
inference,0.937979,0.934899,0.941331,0.818344,0.943521,0.942079,0.938696,0.933784,0.932906,1.000000,0.922100,0.933380,0.933590,0.963142,0.930893,0.933558,0.929315,0.930758,0.937086
lexical_not_adj,0.974677,0.975419,0.972923,0.907766,0.970728,0.973947,0.973285,0.976916,0.994273,0.922100,1.000000,0.958773,0.995581,0.936088,0.996772,0.925849,0.997613,0.997055,0.994021
morphological_neg,0.969436,0.967718,0.970150,0.875050,0.965506,0.970474,0.966204,0.974324,0.953630,0.933380,0.958773,1.000000,0.957043,0.898357,0.954914,0.896046,0.956347,0.956643,0.954743
never,0.978153,0.977596,0.976476,0.914452,0.976063,0.977331,0.978431,0.978292,0.996535,0.933590,0.995581,0.957043,1.000000,0.939708,0.996885,0.931071,0.997034,0.998000,0.998488
no_agent,0.951886,0.901659,0.953104,0.797959,0.954654,0.953505,0.901628,0.946920,0.944155,0.963142,0.936088,0.898357,0.939708,1.000000,0.943075,0.904708,0.941343,0.940228,0.942765
possessive_chain,0.977206,0.980181,0.976095,0.916530,0.974653,0.976863,0.978585,0.976463,0.998808,0.930893,0.996772,0.954914,0.996885,0.943075,1.000000,0.934987,0.999178,0.998290,0.997128
pp_chain,0.895992,0.947625,0.895092,0.859438,0.896872,0.895974,0.947940,0.890345,0.936519,0.933558,0.925849,0.896046,0.931071,0.904708,0.934987,1.000000,0.933018,0.931456,0.933251
relative_clause,0.977999,0.979658,0.976183,0.914975,0.974811,0.976973,0.978257,0.977081,0.998120,0.929315,0.997613,0.956347,0.997034,0.941343,0.999178,0.933018,1.000000,0.998427,0.996830
scope_quantifier,0.977153,0.977789,0.975948,0.915046,0.975681,0.976657,0.978282,0.977327,0.996831,0.930758,0.997055,0.956643,0.998000,0.940228,0.998290,0.931456,0.998427,1.000000,0.997309
syntactic_do_not,0.978641,0.978435,0.977183,0.916475,0.976040,0.976361,0.979121,0.976521,0.997098,0.937086,0.994021,0.954743,0.998488,0.942765,0.997128,0.933251,0.996830,0.997309,1.000000
