subtype,and_or,by_phrase,causal,complement_clause,conditional,contrast,dative_passive,existential_no,get_passive,inference,lexical_not_adj,morphological_neg,never,no_agent,possessive_chain,pp_chain,relative_clause,scope_quantifier,syntactic_do_not
and_or,1.000000,0.852349,0.788333,0.747450,0.903869,0.827421,0.922550,0.900318,0.821947,0.902917,0.836691,0.863947,0.733169,0.671417,0.900301,0.857382,0.847657,0.602866,0.714137
by_phrase,0.852349,1.000000,0.813321,0.578437,0.782559,0.913679,0.882327,0.817442,0.840986,0.783584,0.837627,0.819285,0.692938,0.781740,0.905170,0.765680,0.705643,0.532296,0.631021
causal,0.788333,0.813321,1.000000,0.497198,0.857871,0.950706,0.779343,0.743332,0.641086,0.857748,0.677215,0.599343,0.602746,0.756713,0.731226,0.588080,0.644128,0.354085,0.543377
complement_clause,0.747450,0.578437,0.497198,1.000000,0.767396,0.540988,0.771599,0.800801,0.828009,0.767067,0.866825,0.760650,0.848636,0.523185,0.772714,0.902432,0.972075,0.839418,0.973169
conditional,0.903869,0.782559,0.857871,0.767396,1.000000,0.846018,0.909131,0.764597,0.713409,0.847717,0.813595,0.836760,0.649803,0.723361,0.896621,0.743610,0.851662,0.480775,0.784485
contrast,0.827421,0.913679,0.950706,0.540988,0.846018,1.000000,0.880567,0.782453,0.761208,0.847332,0.807590,0.750949,0.698506,0.748703,0.821494,0.697117,0.696589,0.416421,0.590639
dative_passive,0.922550,0.882327,0.779343,0.771599,0.909131,0.880567,1.000000,0.819150,0.849566,0.846421,0.939457,0.940919,0.790524,0.654764,0.948182,0.863870,0.873450,0.574967,0.772923
existential_no,0.900318,0.817442,0.743332,0.800801,0.764597,0.782453,0.819150,1.000000,0.934492,0.935946,0.851285,0.726328,0.878795,0.641434,0.789966,0.932070,0.880760,0.792611,0.779060
get_passive,0.821947,0.840986,0.641086,0.828009,0.713409,0.761208,0.849566,0.934492,1.000000,0.814866,0.938495,0.819530,0.896565,0.568041,0.832087,0.970369,0.901935,0.775562,0.848171
inference,0.902917,0.783584,0.857748,0.767067,0.847717,0.847332,0.846421,0.935946,0.814866,1.000000,0.813242,0.682884,0.861807,0.722104,0.778072,0.836620,0.851767,0.727789,0.728378
lexical_not_adj,0.836691,0.837627,0.677215,0.866825,0.813595,0.807590,0.939457,0.851285,0.938495,0.813242,1.000000,0.910458,0.903371,0.600227,0.898684,0.940412,0.931055,0.723345,0.877270
morphological_neg,0.863947,0.819285,0.599343,0.760650,0.836760,0.750949,0.940919,0.726328,0.819530,0.682884,0.910458,1.000000,0.690313,0.566435,0.933871,0.845507,0.836632,0.520720,0.772773
never,0.733169,0.692938,0.602746,0.848636,0.649803,0.698506,0.790524,0.878795,0.896565,0.861807,0.903371,0.690313,1.000000,0.554946,0.705076,0.915489,0.881173,0.878552,0.809430
no_agent,0.671417,0.781740,0.756713,0.523185,0.723361,0.748703,0.654764,0.641434,0.568041,0.722104,0.600227,0.566435,0.554946,1.000000,0.732761,0.521630,0.564897,0.569617,0.570661
possessive_chain,0.900301,0.905170,0.731226,0.772714,0.896621,0.821494,0.948182,0.789966,0.832087,0.778072,0.898684,0.933871,0.705076,0.732761,1.000000,0.837763,0.849979,0.590666,0.800114
pp_chain,0.857382,0.765680,0.588080,0.902432,0.743610,0.697117,0.863870,0.932070,0.970369,0.836620,0.940412,0.845507,0.915489,0.521630,0.837763,1.000000,0.951945,0.818364,0.880708
relative_clause,0.847657,0.705643,0.644128,0.972075,0.851662,0.696589,0.873450,0.880760,0.901935,0.851767,0.931055,0.836632,0.881173,0.564897,0.849979,0.951945,1.000000,0.784667,0.960717
scope_quantifier,0.602866,0.532296,0.354085,0.839418,0.480775,0.416421,0.574967,0.792611,0.775562,0.727789,0.723345,0.520720,0.878552,0.569617,0.590666,0.818364,0.784667,1.000000,0.779698
syntactic_do_not,0.714137,0.631021,0.543377,0.973169,0.784485,0.590639,0.772923,0.779060,0.848171,0.728378,0.877270,0.772773,0.809430,0.570661,0.800114,0.880708,0.960717,0.779698,1.000000
