model,category,subtype,features,p290_both_best,p291_both_best,p290_cross_max_drop,p291_cross_max_drop,p291_best_block_width
qwen3,logical,and_or,90,0.9869959829471936,1.0049261469414366,0.9356578349608625,0.9356551210461146,9.0
qwen3,passive,by_phrase,90,0.9059924318345384,0.9059924318345384,0.46837333892305744,0.6299886358636655,1.0
qwen3,logical,causal,90,1.006708854057719,1.006708854057719,0.9892079270709804,0.9892079270709804,1.0
qwen3,recursive,complement_clause,90,0.5039462295654581,0.6730014186070691,0.2666960080272179,0.4263994598467248,9.0
qwen3,logical,conditional,90,0.9895240769284525,1.0052787241760488,0.895576755632431,0.9652206721182618,5.0
qwen3,logical,contrast,90,1.0176787314789553,1.0176787314789553,0.9634559799831104,1.0208538380786665,1.0
qwen3,passive,dative_passive,90,0.7991386689158219,0.807408531010974,0.47757587541014535,0.642237268915423,5.0
qwen3,negation,existential_no,90,0.9224946773614467,0.9297120265442952,0.6864451723877005,0.6864451723877005,9.0
qwen3,passive,get_passive,90,0.7395287373981496,0.7959563793217941,0.30765306702438383,0.47569153728760677,5.0
qwen3,logical,inference,90,0.9955834914398739,1.015746525986355,0.9715440444006339,0.994369591207818,9.0
qwen3,negation,lexical_not_adj,90,0.853074936721352,0.8808370748328295,0.5731041959545055,0.7722220386322841,5.0
qwen3,negation,morphological_neg,90,0.9872462966431383,0.9903663202496885,0.950761910887086,0.965916955749526,5.0
qwen3,negation,never,90,0.952260561874366,0.9569120525885304,0.6138148722788928,0.7871146847594208,9.0
qwen3,passive,no_agent,90,1.0105219908684888,1.0105219908684888,0.9721496128886071,1.0335276826278332,1.0
qwen3,recursive,possessive_chain,90,0.8243345015933571,0.8485194097429745,0.5562088252558318,0.5513172342466809,3.0
qwen3,recursive,pp_chain,90,0.6238683875316866,0.6688846264668622,0.3440990705957184,0.4697578114839991,9.0
qwen3,recursive,relative_clause,90,0.48253585382838604,0.7431078736773449,0.2725279158389144,0.45345380649359696,9.0
qwen3,negation,scope_quantifier,90,0.9524824200512482,0.9755898287705884,0.46198385966438427,0.6816994613622931,9.0
qwen3,negation,syntactic_do_not,90,0.606673074932275,0.807212518352421,0.27440081891337587,0.5307291347205052,5.0
glm4,logical,and_or,95,0.597785997345375,1.0004937472041573,0.5976412945302658,0.9759720960440913,3.0
glm4,passive,by_phrase,95,1.0241433650485767,1.0276362573480846,1.0302327940940474,1.0341691554807484,3.0
glm4,logical,causal,95,0.998637607540401,1.0007785846919457,0.9955099899292964,0.9955099899292964,3.0
