subtype,and_or,by_phrase,causal,complement_clause,conditional,contrast,dative_passive,existential_no,get_passive,inference,lexical_not_adj,morphological_neg,never,no_agent,possessive_chain,pp_chain,relative_clause,scope_quantifier,syntactic_do_not
and_or,1.000000,0.096428,0.657841,-0.066569,0.409558,0.518022,0.005820,0.007449,0.685368,-0.799661,0.269444,-0.309750,0.169845,-0.367849,0.499827,-0.542181,0.535372,0.146630,0.161180
by_phrase,0.096428,1.000000,0.027047,0.324310,-0.088718,0.014937,0.916487,-0.504913,-0.104273,-0.016531,0.040522,0.343944,-0.024835,-0.869655,-0.280309,-0.036954,-0.263942,-0.030306,-0.040548
causal,0.657841,0.027047,1.000000,-0.048331,0.592234,0.643914,-0.045150,0.147874,0.762330,-0.877316,0.188682,-0.289123,0.073209,-0.346134,0.574819,-0.623230,0.563077,0.110890,0.104049
complement_clause,-0.066569,0.324310,-0.048331,1.000000,0.006418,-0.076357,0.351107,-0.084053,-0.159804,0.056427,-0.166731,0.227086,-0.093924,-0.249494,-0.618744,-0.379700,-0.612271,-0.094437,-0.072338
conditional,0.409558,-0.088718,0.592234,0.006418,1.000000,0.550132,0.068086,0.110795,0.644516,-0.778091,0.125821,-0.414613,0.249633,-0.291458,0.453612,-0.544065,0.448822,0.298907,0.178619
contrast,0.518022,0.014937,0.643914,-0.076357,0.550132,1.000000,-0.040525,0.167472,0.701843,-0.821890,0.251443,-0.294821,0.126017,-0.314462,0.577567,-0.596052,0.567020,0.142103,-0.042138
dative_passive,0.005820,0.916487,-0.045150,0.351107,0.068086,-0.040525,1.000000,-0.514257,-0.115176,0.001702,-0.079961,0.286424,0.083981,-0.865626,-0.311369,-0.034888,-0.286542,0.050391,0.047387
existential_no,0.007449,-0.504913,0.147874,-0.084053,0.110795,0.167472,-0.514257,1.000000,-0.172918,-0.128488,-0.601633,0.396233,-0.635935,0.569239,0.153658,-0.092733,0.159226,-0.682054,-0.614793
get_passive,0.685368,-0.104273,0.762330,-0.159804,0.644516,0.701843,-0.115176,-0.172918,1.000000,-0.852311,0.515239,-0.750670,0.566562,-0.360754,0.655109,-0.588526,0.632939,0.546343,0.488100
inference,-0.799661,-0.016531,-0.877316,0.056427,-0.778091,-0.821890,0.001702,-0.128488,-0.852311,1.000000,-0.256605,0.401200,-0.192135,0.404195,-0.641264,0.702693,-0.645124,-0.215219,-0.126204
lexical_not_adj,0.269444,0.040522,0.188682,-0.166731,0.125821,0.251443,-0.079961,-0.601633,0.515239,-0.256605,1.000000,-0.616455,0.461705,-0.220450,0.278021,-0.155139,0.294147,0.644748,0.358802
morphological_neg,-0.309750,0.343944,-0.289123,0.227086,-0.414613,-0.294821,0.286424,0.396233,-0.750670,0.401200,-0.616455,1.000000,-0.834989,0.047993,-0.444545,0.252790,-0.405217,-0.820975,-0.800056
never,0.169845,-0.024835,0.073209,-0.093924,0.249633,0.126017,0.083981,-0.635935,0.566562,-0.192135,0.461705,-0.834989,1.000000,-0.293073,0.200892,-0.115772,0.169607,0.743508,0.837741
no_agent,-0.367849,-0.869655,-0.346134,-0.249494,-0.291458,-0.314462,-0.865626,0.569239,-0.360754,0.404195,-0.220450,0.047993,-0.293073,1.000000,-0.021450,0.308698,-0.030920,-0.264748,-0.231300
possessive_chain,0.499827,-0.280309,0.574819,-0.618744,0.453612,0.577567,-0.311369,0.153658,0.655109,-0.641264,0.278021,-0.444545,0.200892,-0.021450,1.000000,-0.481584,0.966249,0.211314,0.163689
pp_chain,-0.542181,-0.036954,-0.623230,-0.379700,-0.544065,-0.596052,-0.034888,-0.092733,-0.588526,0.702693,-0.155139,0.252790,-0.115772,0.308698,-0.481584,1.000000,-0.489268,-0.127072,-0.080782
relative_clause,0.535372,-0.263942,0.563077,-0.612271,0.448822,0.567020,-0.286542,0.159226,0.632939,-0.645124,0.294147,-0.405217,0.169607,-0.030920,0.966249,-0.489268,1.000000,0.179146,0.107956
scope_quantifier,0.146630,-0.030306,0.110890,-0.094437,0.298907,0.142103,0.050391,-0.682054,0.546343,-0.215219,0.644748,-0.820975,0.743508,-0.264748,0.211314,-0.127072,0.179146,1.000000,0.703647
syntactic_do_not,0.161180,-0.040548,0.104049,-0.072338,0.178619,-0.042138,0.047387,-0.614793,0.488100,-0.126204,0.358802,-0.800056,0.837741,-0.231300,0.163689,-0.080782,0.107956,0.703647,1.000000
