subtype,and_or,by_phrase,causal,complement_clause,conditional,contrast,dative_passive,existential_no,get_passive,inference,lexical_not_adj,morphological_neg,never,no_agent,possessive_chain,pp_chain,relative_clause,scope_quantifier,syntactic_do_not
and_or,1.000000,0.960567,0.971896,0.918436,0.974676,0.962817,0.957383,0.932111,0.966493,0.958557,0.964502,0.907822,0.963557,0.888848,0.954484,0.919336,0.974355,0.941389,0.975827
by_phrase,0.960567,1.000000,0.950296,0.966687,0.943422,0.937229,0.971909,0.899214,0.992641,0.951724,0.951104,0.875029,0.936764,0.913766,0.989539,0.979842,0.976686,0.935625,0.971477
causal,0.971896,0.950296,1.000000,0.913584,0.973217,0.970304,0.932074,0.943226,0.960667,0.964593,0.951437,0.917686,0.944298,0.905713,0.949490,0.917021,0.949462,0.918578,0.958091
complement_clause,0.918436,0.966687,0.913584,1.000000,0.927525,0.902526,0.964855,0.855261,0.962366,0.922201,0.912207,0.825103,0.916337,0.871020,0.963183,0.952426,0.950701,0.935077,0.952358
conditional,0.974676,0.943422,0.973217,0.927525,1.000000,0.967142,0.964250,0.929799,0.953356,0.966940,0.954866,0.902006,0.966525,0.878233,0.943933,0.911132,0.965300,0.954712,0.972511
contrast,0.962817,0.937229,0.970304,0.902526,0.967142,1.000000,0.935428,0.962747,0.949754,0.968439,0.963667,0.941435,0.958252,0.861833,0.945330,0.901597,0.960819,0.941675,0.943650
dative_passive,0.957383,0.971909,0.932074,0.964855,0.964250,0.935428,1.000000,0.892863,0.967123,0.941490,0.945110,0.866467,0.964123,0.857376,0.963481,0.951803,0.981233,0.971380,0.979545
existential_no,0.932111,0.899214,0.943226,0.855261,0.929799,0.962747,0.892863,1.000000,0.908333,0.926595,0.962846,0.963018,0.949300,0.819170,0.906615,0.853347,0.926602,0.918048,0.915396
get_passive,0.966493,0.992641,0.960667,0.962366,0.953356,0.949754,0.967123,0.908333,1.000000,0.962138,0.957011,0.871304,0.944636,0.932994,0.995439,0.974144,0.980503,0.943194,0.978342
inference,0.958557,0.951724,0.964593,0.922201,0.966940,0.968439,0.941490,0.926595,0.962138,1.000000,0.939264,0.900892,0.940647,0.912046,0.957480,0.936874,0.954163,0.933922,0.960503
lexical_not_adj,0.964502,0.951104,0.951437,0.912207,0.954866,0.963667,0.945110,0.962846,0.957011,0.939264,1.000000,0.937388,0.968916,0.863113,0.957797,0.909979,0.976758,0.957530,0.961751
morphological_neg,0.907822,0.875029,0.917686,0.825103,0.902006,0.941435,0.866467,0.963018,0.871304,0.900892,0.937388,1.000000,0.918438,0.757530,0.870138,0.817524,0.896073,0.888218,0.876640
never,0.963557,0.936764,0.944298,0.916337,0.966525,0.958252,0.964123,0.949300,0.944636,0.940647,0.968916,0.918438,1.000000,0.830413,0.937637,0.902473,0.968184,0.969810,0.972920
no_agent,0.888848,0.913766,0.905713,0.871020,0.878233,0.861833,0.857376,0.819170,0.932994,0.912046,0.863113,0.757530,0.830413,1.000000,0.930763,0.916676,0.880937,0.837734,0.897576
possessive_chain,0.954484,0.989539,0.949490,0.963183,0.943933,0.945330,0.963481,0.906615,0.995439,0.957480,0.957797,0.870138,0.937637,0.930763,1.000000,0.973062,0.981131,0.950857,0.971979
pp_chain,0.919336,0.979842,0.917021,0.952426,0.911132,0.901597,0.951803,0.853347,0.974144,0.936874,0.909979,0.817524,0.902473,0.916676,0.973062,1.000000,0.947560,0.911293,0.943008
relative_clause,0.974355,0.976686,0.949462,0.950701,0.965300,0.960819,0.981233,0.926602,0.980503,0.954163,0.976758,0.896073,0.968184,0.880937,0.981131,0.947560,1.000000,0.974527,0.982149
scope_quantifier,0.941389,0.935625,0.918578,0.935077,0.954712,0.941675,0.971380,0.918048,0.943194,0.933922,0.957530,0.888218,0.969810,0.837734,0.950857,0.911293,0.974527,1.000000,0.962304
syntactic_do_not,0.975827,0.971477,0.958091,0.952358,0.972511,0.943650,0.979545,0.915396,0.978342,0.960503,0.961751,0.876640,0.972920,0.897576,0.971979,0.943008,0.982149,0.962304,1.000000
