subtype,and_or,by_phrase,causal,complement_clause,conditional,contrast,dative_passive,existential_no,get_passive,inference,lexical_not_adj,morphological_neg,never,no_agent,possessive_chain,pp_chain,relative_clause,scope_quantifier,syntactic_do_not
and_or,1.000000,-0.311340,0.576169,-0.427220,0.364099,0.389566,-0.261000,0.186925,-0.170840,-0.065423,-0.017803,0.042048,0.209790,-0.055672,-0.203250,-0.410818,-0.005363,-0.107986,0.126246
by_phrase,-0.311340,1.000000,-0.517400,0.457913,-0.477007,-0.668904,0.532563,-0.526761,0.640003,-0.401387,0.098791,-0.149651,-0.204618,0.067765,0.567189,0.634152,0.404190,0.053455,0.177971
causal,0.576169,-0.517400,1.000000,-0.343845,0.629758,0.510059,-0.397330,0.227395,-0.146182,0.159191,-0.232062,0.028072,0.018443,0.093152,-0.378631,-0.346716,-0.370714,-0.362316,-0.072981
complement_clause,-0.427220,0.457913,-0.343845,1.000000,-0.009328,-0.463729,0.516529,-0.469739,0.384947,0.007219,-0.376622,-0.322293,-0.333244,0.180538,0.022539,0.546369,-0.098861,-0.143966,0.027466
conditional,0.364099,-0.477007,0.629758,-0.009328,1.000000,0.435807,-0.095466,0.094085,-0.022681,0.331203,-0.478677,-0.295177,-0.112271,0.344655,-0.550462,-0.181027,-0.426891,-0.354444,-0.047028
contrast,0.389566,-0.668904,0.510059,-0.463729,0.435807,1.000000,-0.454892,0.421256,-0.354713,0.290860,-0.056090,0.155367,0.055665,-0.088394,-0.342790,-0.456132,-0.200297,-0.195794,-0.371849
dative_passive,-0.261000,0.532563,-0.397330,0.516529,-0.095466,-0.454892,1.000000,-0.565321,0.469908,-0.133431,-0.292740,-0.474419,0.053735,-0.133891,0.174328,0.520757,0.084130,-0.015861,0.478888
existential_no,0.186925,-0.526761,0.227395,-0.469739,0.094085,0.421256,-0.565321,1.000000,-0.401772,-0.104032,0.352372,0.456469,0.240708,-0.218879,-0.146778,-0.572035,0.060708,0.135879,-0.253479
get_passive,-0.170840,0.640003,-0.146182,0.384947,-0.022681,-0.354713,0.469908,-0.401772,1.000000,-0.327749,-0.011442,-0.605122,-0.101576,0.232512,0.554668,0.549737,0.301906,0.031368,0.362236
inference,-0.065423,-0.401387,0.159191,0.007219,0.331203,0.290860,-0.133431,-0.104032,-0.327749,1.000000,-0.653098,-0.077941,-0.438018,0.439129,-0.608962,-0.001707,-0.676530,-0.541287,-0.270497
lexical_not_adj,-0.017803,0.098791,-0.232062,-0.376622,-0.478677,-0.056090,-0.292740,0.352372,-0.011442,-0.653098,1.000000,0.352712,0.373546,-0.406055,0.571668,-0.312528,0.715854,0.640983,0.007998
morphological_neg,0.042048,-0.149651,0.028072,-0.322293,-0.295177,0.155367,-0.474419,0.456469,-0.605122,-0.077941,0.352712,1.000000,0.036317,-0.376315,-0.160187,-0.393404,0.019153,0.026407,-0.421112
never,0.209790,-0.204618,0.018443,-0.333244,-0.112271,0.055665,0.053735,0.240708,-0.101576,-0.438018,0.373546,0.036317,1.000000,-0.614385,0.115583,-0.427413,0.209419,0.487807,0.471719
no_agent,-0.055672,0.067765,0.093152,0.180538,0.344655,-0.088394,-0.133891,-0.218879,0.232512,0.439129,-0.406055,-0.376315,-0.614385,1.000000,-0.166645,0.361148,-0.304221,-0.446777,-0.241640
possessive_chain,-0.203250,0.567189,-0.378631,0.022539,-0.550462,-0.342790,0.174328,-0.146778,0.554668,-0.608962,0.571668,-0.160187,0.115583,-0.166645,1.000000,0.215341,0.710661,0.565653,0.336525
pp_chain,-0.410818,0.634152,-0.346716,0.546369,-0.181027,-0.456132,0.520757,-0.572035,0.549737,-0.001707,-0.312528,-0.393404,-0.427413,0.361148,0.215341,1.000000,-0.042855,-0.266141,-0.053247
relative_clause,-0.005363,0.404190,-0.370714,-0.098861,-0.426891,-0.200297,0.084130,0.060708,0.301906,-0.676530,0.715854,0.019153,0.209419,-0.304221,0.710661,-0.042855,1.000000,0.602730,0.264748
scope_quantifier,-0.107986,0.053455,-0.362316,-0.143966,-0.354444,-0.195794,-0.015861,0.135879,0.031368,-0.541287,0.640983,0.026407,0.487807,-0.446777,0.565653,-0.266141,0.602730,1.000000,0.337885
syntactic_do_not,0.126246,0.177971,-0.072981,0.027466,-0.047028,-0.371849,0.478888,-0.253479,0.362236,-0.270497,0.007998,-0.421112,0.471719,-0.241640,0.336525,-0.053247,0.264748,0.337885,1.000000
