subtype,and_or,by_phrase,causal,complement_clause,conditional,contrast,dative_passive,existential_no,get_passive,inference,lexical_not_adj,morphological_neg,never,no_agent,possessive_chain,pp_chain,relative_clause,scope_quantifier,syntactic_do_not
and_or,1.000000,-0.593036,0.886644,-0.419680,0.800558,0.836498,-0.604741,0.778722,-0.170217,-0.107599,-0.186831,0.203492,-0.167259,0.164539,-0.243874,-0.590902,-0.193631,-0.219583,-0.152029
by_phrase,-0.593036,1.000000,-0.642905,0.344646,-0.658966,-0.666800,0.947418,-0.649954,0.121375,-0.044527,0.012520,0.249454,-0.011275,-0.548369,0.087129,0.346949,0.071396,-0.001294,0.014162
causal,0.886644,-0.642905,1.000000,-0.412791,0.882957,0.899253,-0.641062,0.817869,-0.222232,-0.047864,-0.246708,0.228331,-0.231040,0.191461,-0.280042,-0.591089,-0.266290,-0.259800,-0.204974
complement_clause,-0.419680,0.344646,-0.412791,1.000000,-0.367083,-0.421069,0.359708,-0.427858,-0.087782,-0.061597,-0.160319,-0.002995,-0.140449,-0.304097,-0.105414,0.116602,-0.125866,-0.120940,-0.120825
conditional,0.800558,-0.658966,0.882957,-0.367083,1.000000,0.866078,-0.560300,0.746906,-0.230246,-0.030279,-0.290010,0.111506,-0.191208,0.204981,-0.289515,-0.547588,-0.273202,-0.212613,-0.199387
contrast,0.836498,-0.666800,0.899253,-0.421069,0.866078,1.000000,-0.658917,0.848886,-0.264235,-0.045365,-0.205808,0.230305,-0.192668,0.192279,-0.245077,-0.585031,-0.230391,-0.228671,-0.248930
dative_passive,-0.604741,0.947418,-0.641062,0.359708,-0.560300,-0.658917,1.000000,-0.669535,0.092895,-0.017379,-0.058378,0.202873,0.041517,-0.567229,0.032126,0.339801,0.024792,0.036280,0.061475
existential_no,0.778722,-0.649954,0.817869,-0.427858,0.746906,0.848886,-0.669535,1.000000,-0.293614,-0.100101,-0.040351,0.367543,-0.111230,0.126856,-0.223735,-0.606026,-0.184013,-0.156792,-0.205368
get_passive,-0.170217,0.121375,-0.222232,-0.087782,-0.230246,-0.264235,0.092895,-0.293614,1.000000,-0.748510,0.672671,-0.697557,0.776405,-0.406482,0.919674,-0.196707,0.873432,0.792207,0.813869
inference,-0.107599,-0.044527,-0.047864,-0.061597,-0.030279,-0.045365,-0.017379,-0.100101,-0.748510,1.000000,-0.716389,0.309665,-0.697851,0.719958,-0.771353,0.479293,-0.786462,-0.743232,-0.656565
lexical_not_adj,-0.186831,0.012520,-0.246708,-0.160319,-0.290010,-0.205808,-0.058378,-0.040351,0.672671,-0.716389,1.000000,-0.331855,0.753166,-0.402687,0.819625,-0.285015,0.869598,0.837408,0.663103
morphological_neg,0.203492,0.249454,0.228331,-0.002995,0.111506,0.230305,0.202873,0.367543,-0.697557,0.309665,-0.331855,1.000000,-0.549228,-0.131765,-0.644089,-0.075273,-0.583626,-0.557660,-0.639584
never,-0.167259,-0.011275,-0.231040,-0.140449,-0.191208,-0.192668,0.041517,-0.111230,0.776405,-0.697851,0.753166,-0.549228,1.000000,-0.479162,0.797931,-0.296361,0.807773,0.872844,0.905185
no_agent,0.164539,-0.548369,0.191461,-0.304097,0.204981,0.192279,-0.567229,0.126856,-0.406482,0.719958,-0.402687,-0.131765,-0.479162,1.000000,-0.416635,0.241427,-0.443856,-0.459114,-0.432171
possessive_chain,-0.243874,0.087129,-0.280042,-0.105414,-0.289515,-0.245077,0.032126,-0.223735,0.919674,-0.771353,0.819625,-0.644089,0.797931,-0.416635,1.000000,-0.219773,0.944660,0.887733,0.813736
pp_chain,-0.590902,0.346949,-0.591089,0.116602,-0.547588,-0.585031,0.339801,-0.606026,-0.196707,0.479293,-0.285015,-0.075273,-0.296361,0.241427,-0.219773,1.000000,-0.254501,-0.281653,-0.265278
relative_clause,-0.193631,0.071396,-0.266290,-0.125866,-0.273202,-0.230391,0.024792,-0.184013,0.873432,-0.786462,0.869598,-0.583626,0.807773,-0.443856,0.944660,-0.254501,1.000000,0.896991,0.794105
scope_quantifier,-0.219583,-0.001294,-0.259800,-0.120940,-0.212613,-0.228671,0.036280,-0.156792,0.792207,-0.743232,0.837408,-0.557660,0.872844,-0.459114,0.887733,-0.281653,0.896991,1.000000,0.828578
syntactic_do_not,-0.152029,0.014162,-0.204974,-0.120825,-0.199387,-0.248930,0.061475,-0.205368,0.813869,-0.656565,0.663103,-0.639584,0.905185,-0.432171,0.813736,-0.265278,0.794105,0.828578,1.000000
