subtype,and_or,by_phrase,causal,complement_clause,conditional,contrast,dative_passive,existential_no,get_passive,inference,lexical_not_adj,morphological_neg,never,no_agent,possessive_chain,pp_chain,relative_clause,scope_quantifier,syntactic_do_not
and_or,1.000000,-0.132277,0.322662,-0.275784,0.110163,0.231036,-0.116205,-0.057528,-0.077009,0.043122,-0.071249,-0.029670,0.158538,-0.094674,-0.343985,-0.329876,-0.030627,-0.216674,0.274044
by_phrase,-0.132277,1.000000,-0.486464,0.205135,-0.618526,-0.499003,0.417260,-0.289443,0.649549,-0.429987,0.075668,-0.072913,-0.310738,-0.108848,0.647710,0.607956,0.477343,-0.135855,-0.000401
causal,0.322662,-0.486464,1.000000,-0.070860,0.597327,0.399522,-0.154736,0.024528,-0.201900,0.264874,-0.371790,-0.037135,0.056348,0.025159,-0.599984,-0.376628,-0.468284,-0.367289,-0.005074
complement_clause,-0.275784,0.205135,-0.070860,1.000000,0.107028,-0.347100,0.478328,-0.316155,0.276881,0.061561,-0.449456,-0.354622,-0.200700,0.002193,0.016971,0.303226,-0.195720,-0.125588,0.027452
conditional,0.110163,-0.618526,0.597327,0.107028,1.000000,0.388759,0.066328,-0.118703,-0.214733,0.542158,-0.544534,-0.339474,0.058285,0.201128,-0.753804,-0.229123,-0.629923,-0.362561,-0.047921
contrast,0.231036,-0.499003,0.399522,-0.347100,0.388759,1.000000,-0.333882,0.054556,-0.381573,0.263500,-0.107483,0.133976,0.149221,-0.101919,-0.366463,-0.297428,-0.199156,-0.104986,-0.341050
dative_passive,-0.116205,0.417260,-0.154736,0.478328,0.066328,-0.333882,1.000000,-0.389503,0.560489,-0.005406,-0.548861,-0.521194,-0.054238,-0.174784,0.051277,0.543320,-0.101014,-0.127655,0.322220
existential_no,-0.057528,-0.289443,0.024528,-0.316155,-0.118703,0.054556,-0.389503,1.000000,-0.400252,-0.176723,0.331885,0.386748,0.256624,-0.296780,-0.107751,-0.432399,0.051250,0.101825,-0.060220
get_passive,-0.077009,0.649549,-0.201900,0.276881,-0.214733,-0.381573,0.560489,-0.400252,1.000000,-0.278313,-0.299658,-0.554803,-0.260009,0.072300,0.479440,0.618931,0.106368,-0.239072,0.207942
inference,0.043122,-0.429987,0.264874,0.061561,0.542158,0.263500,-0.005406,-0.176723,-0.278313,1.000000,-0.572115,-0.235744,-0.174917,0.374022,-0.598755,-0.012217,-0.633777,-0.336182,-0.022085
lexical_not_adj,-0.071249,0.075668,-0.371790,-0.449456,-0.544534,-0.107483,-0.548861,0.331885,-0.299658,-0.572115,1.000000,0.638133,0.190629,-0.200073,0.430785,-0.342378,0.575531,0.442979,-0.138008
morphological_neg,-0.029670,-0.072913,-0.037135,-0.354622,-0.339474,0.133976,-0.521194,0.386748,-0.554803,-0.235744,0.638133,1.000000,0.196817,-0.388449,0.028335,-0.461818,0.229615,0.283551,-0.339838
never,0.158538,-0.310738,0.056348,-0.200700,0.058285,0.149221,-0.054238,0.256624,-0.260009,-0.174917,0.190629,0.196817,1.000000,-0.547379,-0.205212,-0.377822,-0.085265,0.334641,0.270735
no_agent,-0.094674,-0.108848,0.025159,0.002193,0.201128,-0.101919,-0.174784,-0.296780,0.072300,0.374022,-0.200073,-0.388449,-0.547379,1.000000,-0.099121,0.113231,-0.259391,-0.246473,-0.213444
possessive_chain,-0.343985,0.647710,-0.599984,0.016971,-0.753804,-0.366463,0.051277,-0.107751,0.479440,-0.598755,0.430785,0.028335,-0.205212,-0.099121,1.000000,0.374895,0.601152,0.320185,0.064605
pp_chain,-0.329876,0.607956,-0.376628,0.303226,-0.229123,-0.297428,0.543320,-0.432399,0.618931,-0.012217,-0.342378,-0.461818,-0.377822,0.113231,0.374895,1.000000,0.085542,-0.209408,-0.052228
relative_clause,-0.030627,0.477343,-0.468284,-0.195720,-0.629923,-0.199156,-0.101014,0.051250,0.106368,-0.633777,0.575531,0.229615,-0.085265,-0.259391,0.601152,0.085542,1.000000,0.283978,0.005626
scope_quantifier,-0.216674,-0.135855,-0.367289,-0.125588,-0.362561,-0.104986,-0.127655,0.101825,-0.239072,-0.336182,0.442979,0.283551,0.334641,-0.246473,0.320185,-0.209408,0.283978,1.000000,0.032115
syntactic_do_not,0.274044,-0.000401,-0.005074,0.027452,-0.047921,-0.341050,0.322220,-0.060220,0.207942,-0.022085,-0.138008,-0.339838,0.270735,-0.213444,0.064605,-0.052228,0.005626,0.032115,1.000000
