subtype,and_or,by_phrase,causal,complement_clause,conditional,contrast,dative_passive,existential_no,get_passive,inference,lexical_not_adj,morphological_neg,never,no_agent,possessive_chain,pp_chain,relative_clause,scope_quantifier,syntactic_do_not
and_or,1.000000,0.195246,0.449875,-0.585054,-0.717545,0.582717,-0.084440,-0.535402,0.065878,0.516585,-0.039461,0.670284,-0.651806,-0.127103,-0.577185,-0.121962,0.735866,-0.478879,0.667565
by_phrase,0.195246,1.000000,0.264856,-0.007434,-0.230371,0.205731,-0.172148,-0.653120,-0.803064,0.087783,0.029207,0.138284,-0.250120,0.071564,-0.013893,0.044867,-0.014593,0.106307,0.555872
causal,0.449875,0.264856,1.000000,-0.436067,-0.899917,0.820726,-0.477331,-0.703376,0.061236,0.710593,0.400931,0.686218,-0.853518,0.171931,-0.434617,-0.363283,0.713419,-0.353757,0.498156
complement_clause,-0.585054,-0.007434,-0.436067,1.000000,0.663736,-0.734002,0.358402,0.353060,-0.296774,-0.443208,-0.114675,-0.413881,0.793590,-0.063450,0.972646,-0.480864,-0.838782,0.491017,-0.737886
conditional,-0.717545,-0.230371,-0.899917,0.663736,1.000000,-0.936448,0.297391,0.781604,-0.167547,-0.817537,-0.360434,-0.787946,0.948013,0.050106,0.659955,0.229661,-0.892206,0.574771,-0.720514
contrast,0.582717,0.205731,0.820726,-0.734002,-0.936448,1.000000,-0.224884,-0.787733,0.271328,0.656066,0.548113,0.603673,-0.959854,-0.182415,-0.737965,-0.049419,0.869315,-0.494258,0.703999
dative_passive,-0.084440,-0.172148,-0.477331,0.358402,0.297391,-0.224884,1.000000,-0.022094,0.130154,-0.176076,-0.000580,-0.103933,0.434221,-0.863759,0.335990,-0.304307,-0.214743,0.047738,-0.236035
existential_no,-0.535402,-0.653120,-0.703376,0.353060,0.781604,-0.787733,-0.022094,1.000000,0.228640,-0.557522,-0.430795,-0.582896,0.724599,0.319407,0.355421,0.269983,-0.565231,0.286110,-0.705036
get_passive,0.065878,-0.803064,0.061236,-0.296774,-0.167547,0.271328,0.130154,0.228640,1.000000,0.107465,0.436903,-0.053578,-0.194088,-0.346970,-0.317744,-0.004145,0.353075,-0.282546,-0.198733
inference,0.516585,0.087783,0.710593,-0.443208,-0.817537,0.656066,-0.176076,-0.557522,0.107465,1.000000,0.097136,0.825830,-0.664270,-0.000034,-0.428152,-0.325302,0.691166,-0.729051,0.590169
lexical_not_adj,-0.039461,0.029207,0.400931,-0.114675,-0.360434,0.548113,-0.000580,-0.430795,0.436903,0.097136,1.000000,-0.162275,-0.412511,-0.386445,-0.125691,-0.046909,0.165108,-0.070990,0.056705
morphological_neg,0.670284,0.138284,0.686218,-0.413881,-0.787946,0.603673,-0.103933,-0.582896,-0.053578,0.825830,-0.162275,1.000000,-0.634025,0.032747,-0.403410,-0.445156,0.731786,-0.631360,0.576036
never,-0.651806,-0.250120,-0.853518,0.793590,0.948013,-0.959854,0.434221,0.724599,-0.194088,-0.664270,-0.412511,-0.634025,1.000000,-0.033891,0.797252,-0.020362,-0.895529,0.492345,-0.761476
no_agent,-0.127103,0.071564,0.171931,-0.063450,0.050106,-0.182415,-0.863759,0.319407,-0.346970,-0.000034,-0.386445,0.032747,-0.033891,1.000000,-0.021255,0.238872,-0.094084,0.113931,-0.043010
possessive_chain,-0.577185,-0.013893,-0.434617,0.972646,0.659955,-0.737965,0.335990,0.355421,-0.317744,-0.428152,-0.125691,-0.403410,0.797252,-0.021255,1.000000,-0.459557,-0.851444,0.504568,-0.752674
pp_chain,-0.121962,0.044867,-0.363283,-0.480864,0.229661,-0.049419,-0.304307,0.269983,-0.004145,-0.325302,-0.046909,-0.445156,-0.020362,0.238872,-0.459557,1.000000,-0.059750,-0.021543,0.264183
relative_clause,0.735866,-0.014593,0.713419,-0.838782,-0.892206,0.869315,-0.214743,-0.565231,0.353075,0.691166,0.165108,0.731786,-0.895529,-0.094084,-0.851444,-0.059750,1.000000,-0.555185,0.692903
scope_quantifier,-0.478879,0.106307,-0.353757,0.491017,0.574771,-0.494258,0.047738,0.286110,-0.282546,-0.729051,-0.070990,-0.631360,0.492345,0.113931,0.504568,-0.021543,-0.555185,1.000000,-0.604897
syntactic_do_not,0.667565,0.555872,0.498156,-0.737886,-0.720514,0.703999,-0.236035,-0.705036,-0.198733,0.590169,0.056705,0.576036,-0.761476,-0.043010,-0.752674,0.264183,0.692903,-0.604897,1.000000
