subtype,and_or,by_phrase,causal,complement_clause,conditional,contrast,dative_passive,existential_no,get_passive,inference,lexical_not_adj,morphological_neg,never,no_agent,possessive_chain,pp_chain,relative_clause,scope_quantifier,syntactic_do_not
and_or,1.000000,0.941073,0.875528,0.878157,0.888728,0.880349,0.944781,0.894951,0.941489,0.880371,0.861336,0.863169,0.881890,0.887928,0.881990,0.864034,0.907566,0.892740,0.908278
by_phrase,0.941073,1.000000,0.880226,0.952745,0.904076,0.879017,0.987617,0.938640,0.982615,0.885294,0.946466,0.893245,0.948430,0.901433,0.947532,0.923644,0.968198,0.955465,0.970656
causal,0.875528,0.880226,1.000000,0.795242,0.942913,0.992785,0.857740,0.905624,0.881955,0.989695,0.859707,0.966711,0.867133,0.980218,0.794311,0.770139,0.853855,0.820865,0.803523
complement_clause,0.878157,0.952745,0.795242,1.000000,0.891884,0.790698,0.945088,0.947776,0.926775,0.817408,0.958205,0.844833,0.975325,0.831243,0.990619,0.986771,0.960512,0.984691,0.978090
conditional,0.888728,0.904076,0.942913,0.891884,1.000000,0.929764,0.891047,0.975225,0.894421,0.953355,0.907687,0.946566,0.944859,0.964743,0.895653,0.885699,0.886910,0.907124,0.880237
contrast,0.880349,0.879017,0.992785,0.790698,0.929764,1.000000,0.867026,0.894467,0.890229,0.986237,0.858379,0.962644,0.856439,0.967401,0.790574,0.770428,0.860749,0.816233,0.807185
dative_passive,0.944781,0.987617,0.857740,0.945088,0.891047,0.867026,1.000000,0.925768,0.987847,0.870088,0.936661,0.873643,0.934215,0.871241,0.944472,0.925461,0.966198,0.944475,0.972710
existential_no,0.894951,0.938640,0.905624,0.947776,0.975225,0.894467,0.925768,1.000000,0.927172,0.924334,0.961280,0.927798,0.987119,0.933332,0.948622,0.941033,0.932729,0.958865,0.932145
get_passive,0.941489,0.982615,0.881955,0.926775,0.894421,0.890229,0.987847,0.927172,1.000000,0.889261,0.947638,0.874586,0.927927,0.881888,0.923788,0.908336,0.961591,0.928815,0.951407
inference,0.880371,0.885294,0.989695,0.817408,0.953355,0.986237,0.870088,0.924334,0.889261,1.000000,0.873115,0.968064,0.888180,0.980455,0.819195,0.800779,0.865337,0.840355,0.823386
lexical_not_adj,0.861336,0.946466,0.859707,0.958205,0.907687,0.858379,0.936661,0.961280,0.947638,0.873115,1.000000,0.870597,0.974495,0.865247,0.950713,0.944585,0.949942,0.963266,0.943030
morphological_neg,0.863169,0.893245,0.966711,0.844833,0.946566,0.962644,0.873643,0.927798,0.874586,0.968064,0.870597,1.000000,0.903024,0.969737,0.842812,0.822536,0.883226,0.858160,0.850309
never,0.881890,0.948430,0.867133,0.975325,0.944859,0.856439,0.934215,0.987119,0.927927,0.888180,0.974495,0.903024,1.000000,0.896307,0.968684,0.962983,0.951759,0.978619,0.955008
no_agent,0.887928,0.901433,0.980218,0.831243,0.964743,0.967401,0.871241,0.933332,0.881888,0.980455,0.865247,0.969737,0.896307,1.000000,0.830913,0.806964,0.860621,0.855623,0.835160
possessive_chain,0.881990,0.947532,0.794311,0.990619,0.895653,0.790574,0.944472,0.948622,0.923788,0.819195,0.950713,0.842812,0.968684,0.830913,1.000000,0.988301,0.955357,0.988841,0.975484
pp_chain,0.864034,0.923644,0.770139,0.986771,0.885699,0.770428,0.925461,0.941033,0.908336,0.800779,0.944585,0.822536,0.962983,0.806964,0.988301,1.000000,0.946839,0.975669,0.969560
relative_clause,0.907566,0.968198,0.853855,0.960512,0.886910,0.860749,0.966198,0.932729,0.961591,0.865337,0.949942,0.883226,0.951759,0.860621,0.955357,0.946839,1.000000,0.957092,0.975080
scope_quantifier,0.892740,0.955465,0.820865,0.984691,0.907124,0.816233,0.944475,0.958865,0.928815,0.840355,0.963266,0.858160,0.978619,0.855623,0.988841,0.975669,0.957092,1.000000,0.973308
syntactic_do_not,0.908278,0.970656,0.803523,0.978090,0.880237,0.807185,0.972710,0.932145,0.951407,0.823386,0.943030,0.850309,0.955008,0.835160,0.975484,0.969560,0.975080,0.973308,1.000000
