subtype,and_or,by_phrase,causal,complement_clause,conditional,contrast,dative_passive,existential_no,get_passive,inference,lexical_not_adj,morphological_neg,never,no_agent,possessive_chain,pp_chain,relative_clause,scope_quantifier,syntactic_do_not
and_or,1.000000,-0.319952,0.381743,-0.498630,0.021116,0.436374,-0.251865,-0.233004,-0.209985,0.326766,-0.624079,0.184772,-0.615343,0.363127,-0.291726,-0.208581,-0.163656,-0.510977,-0.214573
by_phrase,-0.319952,1.000000,-0.174195,0.210011,-0.440036,-0.246333,0.859747,-0.096084,0.781677,-0.199456,0.555572,-0.062406,0.358122,-0.144518,-0.155810,-0.313428,0.302796,0.174447,0.647871
causal,0.381743,-0.174195,1.000000,-0.832053,0.582967,0.960481,-0.230809,-0.146143,-0.051897,0.915553,-0.462259,0.683615,-0.604596,0.909696,-0.735538,-0.606799,-0.360437,-0.781109,-0.592562
complement_clause,-0.498630,0.210011,-0.832053,1.000000,-0.416699,-0.863142,0.227082,0.166992,0.054678,-0.815247,0.458554,-0.583939,0.613370,-0.838039,0.671792,0.494733,0.217837,0.608823,0.475833
conditional,0.021116,-0.440036,0.582967,-0.416699,1.000000,0.522310,-0.423265,0.380940,-0.272599,0.536603,-0.340506,0.407901,-0.146754,0.590362,-0.440917,-0.335392,-0.618558,-0.439654,-0.712388
contrast,0.436374,-0.246333,0.960481,-0.863142,0.522310,1.000000,-0.253850,-0.172012,-0.063204,0.914354,-0.500870,0.626475,-0.685500,0.889235,-0.718887,-0.538669,-0.310947,-0.803050,-0.584595
dative_passive,-0.251865,0.859747,-0.230809,0.227082,-0.423265,-0.253850,1.000000,-0.056906,0.809618,-0.212386,0.494136,-0.097183,0.334830,-0.275632,-0.177978,-0.361218,0.298182,0.097661,0.611071
existential_no,-0.233004,-0.096084,-0.146143,0.166992,0.380940,-0.172012,-0.056906,1.000000,0.132480,-0.085100,0.289070,-0.307732,0.525003,-0.122826,-0.129805,-0.009255,-0.183689,0.202453,-0.216263
get_passive,-0.209985,0.781677,-0.051897,0.054678,-0.272599,-0.063204,0.809618,0.132480,1.000000,-0.049202,0.519452,-0.234078,0.238861,-0.119354,-0.340172,-0.327387,0.370254,0.000510,0.448784
inference,0.326766,-0.199456,0.915553,-0.815247,0.536603,0.914354,-0.212386,-0.085100,-0.049202,1.000000,-0.417549,0.658351,-0.537841,0.876828,-0.702500,-0.554827,-0.373222,-0.711291,-0.589034
lexical_not_adj,-0.624079,0.555572,-0.462259,0.458554,-0.340506,-0.500870,0.494136,0.289070,0.519452,-0.417549,1.000000,-0.451243,0.741160,-0.511811,0.206133,0.046467,0.221268,0.594942,0.374707
morphological_neg,0.184772,-0.062406,0.683615,-0.583939,0.407901,0.626475,-0.097183,-0.307732,-0.234078,0.658351,-0.451243,1.000000,-0.369124,0.693686,-0.434806,-0.497572,-0.312147,-0.495346,-0.403560
never,-0.615343,0.358122,-0.604596,0.613370,-0.146754,-0.685500,0.334830,0.525003,0.238861,-0.537841,0.741160,-0.369124,1.000000,-0.581807,0.295701,0.094349,0.056518,0.686862,0.271351
no_agent,0.363127,-0.144518,0.909696,-0.838039,0.590362,0.889235,-0.275632,-0.122826,-0.119354,0.876828,-0.511811,0.693686,-0.581807,1.000000,-0.714271,-0.552289,-0.421129,-0.704809,-0.529439
possessive_chain,-0.291726,-0.155810,-0.735538,0.671792,-0.440917,-0.718887,-0.177978,-0.129805,-0.340172,-0.702500,0.206133,-0.434806,0.295701,-0.714271,1.000000,0.815490,0.240311,0.668297,0.213608
pp_chain,-0.208581,-0.313428,-0.606799,0.494733,-0.335392,-0.538669,-0.361218,-0.009255,-0.327387,-0.554827,0.046467,-0.497572,0.094349,-0.552289,0.815490,1.000000,0.340065,0.488420,0.195497
relative_clause,-0.163656,0.302796,-0.360437,0.217837,-0.618558,-0.310947,0.298182,-0.183689,0.370254,-0.373222,0.221268,-0.312147,0.056518,-0.421129,0.240311,0.340065,1.000000,0.317540,0.533263
scope_quantifier,-0.510977,0.174447,-0.781109,0.608823,-0.439654,-0.803050,0.097661,0.202453,0.000510,-0.711291,0.594942,-0.495346,0.686862,-0.704809,0.668297,0.488420,0.317540,1.000000,0.288748
syntactic_do_not,-0.214573,0.647871,-0.592562,0.475833,-0.712388,-0.584595,0.611071,-0.216263,0.448784,-0.589034,0.374707,-0.403560,0.271351,-0.529439,0.213608,0.195497,0.533263,0.288748,1.000000
