subtype,and_or,by_phrase,causal,complement_clause,conditional,contrast,dative_passive,existential_no,get_passive,inference,lexical_not_adj,morphological_neg,never,no_agent,possessive_chain,pp_chain,relative_clause,scope_quantifier,syntactic_do_not
and_or,1.000000,0.487599,0.908802,-0.895890,-0.587596,0.905645,0.469867,-0.663112,0.816710,0.927662,-0.335242,0.457020,-0.847887,0.678823,-0.882238,-0.628127,0.277555,-0.801604,-0.010065
by_phrase,0.487599,1.000000,0.559825,-0.697515,-0.817772,0.574874,0.620470,-0.852003,0.515654,0.492394,-0.043480,0.508662,-0.673391,0.711624,-0.708362,-0.504733,0.039103,-0.535357,0.690248
causal,0.908802,0.559825,1.000000,-0.914823,-0.580913,0.947981,0.425516,-0.690468,0.812796,0.952372,-0.150615,0.412302,-0.837714,0.762992,-0.904580,-0.737605,0.105000,-0.698384,-0.075652
complement_clause,-0.895890,-0.697515,-0.914823,1.000000,0.749368,-0.962964,-0.535611,0.816754,-0.885591,-0.898470,0.157876,-0.352782,0.957090,-0.767713,0.990529,0.547785,-0.297299,0.849182,-0.249023
conditional,-0.587596,-0.817772,-0.580913,0.749368,1.000000,-0.716431,-0.700975,0.967347,-0.619480,-0.520494,0.004544,-0.507746,0.821826,-0.435790,0.750254,0.396698,-0.498357,0.563394,-0.660848
contrast,0.905645,0.574874,0.947981,-0.962964,-0.716431,1.000000,0.527423,-0.796677,0.884237,0.912698,-0.078137,0.365141,-0.933800,0.653425,-0.954484,-0.602281,0.315680,-0.778917,0.085210
dative_passive,0.469867,0.620470,0.425516,-0.535611,-0.700975,0.527423,1.000000,-0.729696,0.652807,0.493240,0.064983,0.643893,-0.491071,0.161075,-0.559159,-0.609015,0.147831,-0.620063,0.426164
existential_no,-0.663112,-0.852003,-0.690468,0.816754,0.967347,-0.796677,-0.729696,1.000000,-0.667221,-0.628034,0.020662,-0.578635,0.856156,-0.532872,0.813904,0.504170,-0.387909,0.638152,-0.590661
get_passive,0.816710,0.515654,0.812796,-0.885591,-0.619480,0.884237,0.652807,-0.667221,1.000000,0.838587,0.026917,0.223269,-0.821351,0.518763,-0.901737,-0.589335,0.229274,-0.829687,0.075474
inference,0.927662,0.492394,0.952372,-0.898470,-0.520494,0.912698,0.493240,-0.628034,0.838587,1.000000,-0.282901,0.461693,-0.800716,0.728041,-0.884177,-0.711212,0.117642,-0.814838,-0.090960
lexical_not_adj,-0.335242,-0.043480,-0.150615,0.157876,0.004544,-0.078137,0.064983,0.020662,0.026917,-0.282901,1.000000,-0.439950,0.213324,-0.375657,0.149666,-0.047774,-0.358651,0.388574,-0.078404
morphological_neg,0.457020,0.508662,0.412302,-0.352782,-0.507746,0.365141,0.643893,-0.578635,0.223269,0.461693,-0.439950,1.000000,-0.336309,0.308419,-0.345433,-0.624392,0.102997,-0.394513,0.257148
never,-0.847887,-0.673391,-0.837714,0.957090,0.821826,-0.933800,-0.491071,0.856156,-0.821351,-0.800716,0.213324,-0.336309,1.000000,-0.686764,0.953870,0.392782,-0.518775,0.804653,-0.354701
no_agent,0.678823,0.711624,0.762992,-0.767713,-0.435790,0.653425,0.161075,-0.532872,0.518763,0.728041,-0.375657,0.308419,-0.686764,1.000000,-0.760948,-0.479365,-0.076547,-0.607490,0.198446
possessive_chain,-0.882238,-0.708362,-0.904580,0.990529,0.750254,-0.954484,-0.559159,0.813904,-0.901737,-0.884177,0.149666,-0.345433,0.953870,-0.760948,1.000000,0.556339,-0.300046,0.849855,-0.260572
pp_chain,-0.628127,-0.504733,-0.737605,0.547785,0.396698,-0.602281,-0.609015,0.504170,-0.589335,-0.711212,-0.047774,-0.624392,0.392782,-0.479365,0.556339,1.000000,0.324371,0.380116,0.180717
relative_clause,0.277555,0.039103,0.105000,-0.297299,-0.498357,0.315680,0.147831,-0.387909,0.229274,0.117642,-0.358651,0.102997,-0.518775,-0.076547,-0.300046,0.324371,1.000000,-0.334981,0.380218
scope_quantifier,-0.801604,-0.535357,-0.698384,0.849182,0.563394,-0.778917,-0.620063,0.638152,-0.829687,-0.814838,0.388574,-0.394513,0.804653,-0.607490,0.849855,0.380116,-0.334981,1.000000,-0.277708
syntactic_do_not,-0.010065,0.690248,-0.075652,-0.249023,-0.660848,0.085210,0.426164,-0.590661,0.075474,-0.090960,-0.078404,0.257148,-0.354701,0.198446,-0.260572,0.180717,0.380218,-0.277708,1.000000
