subtype,and_or,by_phrase,causal,complement_clause,conditional,contrast,dative_passive,existential_no,get_passive,inference,lexical_not_adj,morphological_neg,never,no_agent,possessive_chain,pp_chain,relative_clause,scope_quantifier,syntactic_do_not
and_or,1.000000,0.936514,0.979982,0.772323,0.842710,0.974248,0.931103,0.841404,0.970717,0.989337,0.811248,0.933622,0.775156,0.942328,0.768823,0.755252,0.899105,0.786162,0.861376
by_phrase,0.936514,1.000000,0.929574,0.819942,0.842855,0.914018,0.942650,0.850989,0.935687,0.938741,0.835225,0.935794,0.813706,0.936839,0.807344,0.786214,0.892773,0.834745,0.929414
causal,0.979982,0.929574,1.000000,0.710738,0.798871,0.987129,0.897255,0.790169,0.962642,0.988952,0.796423,0.900197,0.719915,0.949738,0.706491,0.679270,0.844953,0.747851,0.802505
complement_clause,0.772323,0.819942,0.710738,1.000000,0.965974,0.676462,0.855794,0.976119,0.747963,0.759952,0.905335,0.882698,0.993940,0.752703,0.998632,0.920638,0.805043,0.980874,0.914334
conditional,0.842710,0.842855,0.798871,0.965974,1.000000,0.756434,0.863322,0.995811,0.817259,0.841705,0.901908,0.890101,0.977201,0.849231,0.966074,0.900908,0.791870,0.948831,0.886393
contrast,0.974248,0.914018,0.987129,0.676462,0.756434,1.000000,0.899643,0.752464,0.972330,0.977553,0.790156,0.877137,0.677089,0.913249,0.671506,0.685267,0.877075,0.710451,0.807484
dative_passive,0.931103,0.942650,0.897255,0.855794,0.863322,0.899643,1.000000,0.869399,0.948024,0.931426,0.880542,0.960212,0.856247,0.842077,0.847008,0.788238,0.896089,0.838935,0.922609
existential_no,0.841404,0.850989,0.790169,0.976119,0.995811,0.752464,0.869399,1.000000,0.819320,0.835362,0.910043,0.890590,0.982790,0.841996,0.975843,0.920198,0.814842,0.960715,0.907133
get_passive,0.970717,0.935687,0.962642,0.747963,0.817259,0.972330,0.948024,0.819320,1.000000,0.973759,0.848501,0.892474,0.753971,0.905644,0.739737,0.738958,0.881767,0.757552,0.857670
inference,0.989337,0.938741,0.988952,0.759952,0.841705,0.977553,0.931426,0.835362,0.973759,1.000000,0.811404,0.930713,0.770554,0.952340,0.756640,0.730119,0.868967,0.773437,0.843898
lexical_not_adj,0.811248,0.835225,0.796423,0.905335,0.901908,0.790156,0.880542,0.910043,0.848501,0.811404,1.000000,0.826414,0.909707,0.751231,0.900760,0.837223,0.790496,0.931907,0.860043
morphological_neg,0.933622,0.935794,0.900197,0.882698,0.890101,0.877137,0.960212,0.890590,0.892474,0.930713,0.826414,1.000000,0.879833,0.880037,0.878750,0.795130,0.891440,0.872677,0.913019
never,0.775156,0.813706,0.719915,0.993940,0.977201,0.677089,0.856247,0.982790,0.753971,0.770554,0.909707,0.879833,1.000000,0.761448,0.993257,0.893933,0.768870,0.974000,0.890607
no_agent,0.942328,0.936839,0.949738,0.752703,0.849231,0.913249,0.842077,0.841996,0.905644,0.952340,0.751231,0.880037,0.761448,1.000000,0.747024,0.746708,0.819020,0.774831,0.832109
possessive_chain,0.768823,0.807344,0.706491,0.998632,0.966074,0.671506,0.847008,0.975843,0.739737,0.756640,0.900760,0.878750,0.993257,0.747024,1.000000,0.921333,0.801451,0.980134,0.906389
pp_chain,0.755252,0.786214,0.679270,0.920638,0.900908,0.685267,0.788238,0.920198,0.738958,0.730119,0.837223,0.795130,0.893933,0.746708,0.921333,1.000000,0.879486,0.895929,0.936696
relative_clause,0.899105,0.892773,0.844953,0.805043,0.791870,0.877075,0.896089,0.814842,0.881767,0.868967,0.790496,0.891440,0.768870,0.819020,0.801451,0.879486,1.000000,0.804658,0.946422
scope_quantifier,0.786162,0.834745,0.747851,0.980874,0.948831,0.710451,0.838935,0.960715,0.757552,0.773437,0.931907,0.872677,0.974000,0.774831,0.980134,0.895929,0.804658,1.000000,0.895891
syntactic_do_not,0.861376,0.929414,0.802505,0.914334,0.886393,0.807484,0.922609,0.907133,0.857670,0.843898,0.860043,0.913019,0.890607,0.832109,0.906389,0.936696,0.946422,0.895891,1.000000
