subtype,and_or,by_phrase,causal,complement_clause,conditional,contrast,dative_passive,existential_no,get_passive,inference,lexical_not_adj,morphological_neg,never,no_agent,possessive_chain,pp_chain,relative_clause,scope_quantifier,syntactic_do_not
and_or,1.000000,-0.429518,0.145693,-0.330059,0.116387,0.197680,-0.419782,-0.098332,-0.425396,0.167439,-0.400110,0.106636,-0.267089,0.177010,0.060128,0.119596,-0.224937,-0.076172,-0.269223
by_phrase,-0.429518,1.000000,-0.221055,0.209932,-0.448967,-0.218471,0.760665,-0.185272,0.723043,-0.263912,0.391227,-0.208978,0.021530,-0.061702,-0.445407,-0.451420,0.119062,-0.178738,0.627291
causal,0.145693,-0.221055,1.000000,-0.558727,0.677197,0.928201,-0.201964,-0.298411,-0.210741,0.900262,-0.720543,0.739096,-0.567488,0.765494,-0.320490,-0.282602,-0.527404,-0.660994,-0.714075
complement_clause,-0.330059,0.209932,-0.558727,1.000000,-0.294852,-0.597355,0.269395,0.015649,0.182014,-0.554990,0.310827,-0.407149,0.259194,-0.615438,0.265448,0.236685,0.218648,0.218232,0.284298
conditional,0.116387,-0.448967,0.677197,-0.294852,1.000000,0.586064,-0.259701,0.166328,-0.298027,0.652523,-0.648698,0.658218,-0.201194,0.541757,-0.199039,-0.199208,-0.570892,-0.493577,-0.704733
contrast,0.197680,-0.218471,0.928201,-0.597355,0.586064,1.000000,-0.216004,-0.340364,-0.204480,0.913777,-0.685373,0.752474,-0.678841,0.803891,-0.330301,-0.262287,-0.477488,-0.673687,-0.700164
dative_passive,-0.419782,0.760665,-0.201964,0.269395,-0.259701,-0.216004,1.000000,0.156363,0.903870,-0.207923,0.416260,-0.239042,0.228313,-0.244302,-0.597526,-0.715586,0.036395,-0.151714,0.466635
existential_no,-0.098332,-0.185272,-0.298411,0.015649,0.166328,-0.340364,0.156363,1.000000,0.156122,-0.265427,0.357307,-0.314170,0.671441,-0.266197,-0.163902,-0.234657,-0.011201,0.310409,0.035920
get_passive,-0.425396,0.723043,-0.210741,0.182014,-0.298027,-0.204480,0.903870,0.156122,1.000000,-0.234557,0.483465,-0.320924,0.158122,-0.265078,-0.581396,-0.641685,0.168909,-0.119348,0.469773
inference,0.167439,-0.263912,0.900262,-0.554990,0.652523,0.913777,-0.207923,-0.265427,-0.234557,1.000000,-0.702106,0.714852,-0.576306,0.814343,-0.320969,-0.265961,-0.551541,-0.638151,-0.733357
lexical_not_adj,-0.400110,0.391227,-0.720543,0.310827,-0.648698,-0.685373,0.416260,0.357307,0.483465,-0.702106,1.000000,-0.682071,0.604794,-0.660379,-0.021557,-0.125813,0.455232,0.599017,0.673323
morphological_neg,0.106636,-0.208978,0.739096,-0.407149,0.658218,0.752474,-0.239042,-0.314170,-0.320924,0.714852,-0.682071,1.000000,-0.464647,0.653393,-0.192715,-0.199872,-0.511726,-0.595915,-0.596251
never,-0.267089,0.021530,-0.567488,0.259194,-0.201194,-0.678841,0.228313,0.671441,0.158122,-0.576306,0.604794,-0.464647,1.000000,-0.599796,0.028114,-0.134973,0.081456,0.676911,0.424839
no_agent,0.177010,-0.061702,0.765494,-0.615438,0.541757,0.803891,-0.244302,-0.266197,-0.265078,0.814343,-0.660379,0.653393,-0.599796,1.000000,-0.341408,-0.197873,-0.505419,-0.616936,-0.499869
possessive_chain,0.060128,-0.445407,-0.320490,0.265448,-0.199039,-0.330301,-0.597526,-0.163902,-0.581396,-0.320969,-0.021557,-0.192715,0.028114,-0.341408,1.000000,0.800461,0.155640,0.360212,-0.094513
pp_chain,0.119596,-0.451420,-0.282602,0.236685,-0.199208,-0.262287,-0.715586,-0.234657,-0.641685,-0.265961,-0.125813,-0.199872,-0.134973,-0.197873,0.800461,1.000000,0.317957,0.309157,-0.067522
relative_clause,-0.224937,0.119062,-0.527404,0.218648,-0.570892,-0.477488,0.036395,-0.011201,0.168909,-0.551541,0.455232,-0.511726,0.081456,-0.505419,0.155640,0.317957,1.000000,0.356877,0.534088
scope_quantifier,-0.076172,-0.178738,-0.660994,0.218232,-0.493577,-0.673687,-0.151714,0.310409,-0.119348,-0.638151,0.599017,-0.595915,0.676911,-0.616936,0.360212,0.309157,0.356877,1.000000,0.352728
syntactic_do_not,-0.269223,0.627291,-0.714075,0.284298,-0.704733,-0.700164,0.466635,0.035920,0.469773,-0.733357,0.673323,-0.596251,0.424839,-0.499869,-0.094513,-0.067522,0.534088,0.352728,1.000000
