subtype,and_or,by_phrase,causal,complement_clause,conditional,contrast,dative_passive,existential_no,get_passive,inference,lexical_not_adj,morphological_neg,never,no_agent,possessive_chain,pp_chain,relative_clause,scope_quantifier,syntactic_do_not
and_or,1.000000,-0.365957,-0.858594,-0.161288,0.146736,-0.650229,0.384817,0.413465,0.449059,0.139100,-0.299685,0.336936,-0.324970,-0.586356,-0.355309,0.529078,0.217024,-0.223224,-0.297590
by_phrase,-0.365957,1.000000,0.686217,-0.490660,-0.347087,0.663716,-0.419005,-0.169231,-0.684181,-0.540139,0.391738,0.200131,-0.243618,0.571912,0.923616,-0.335830,-0.848418,0.116199,-0.230238
causal,-0.858594,0.686217,1.000000,-0.225014,-0.308642,0.678514,-0.453987,-0.140039,-0.554191,-0.309496,0.345696,-0.193051,0.121108,0.598913,0.626020,-0.440226,-0.428255,0.078764,0.048210
complement_clause,-0.161288,-0.490660,-0.225014,1.000000,0.405649,-0.324535,-0.100575,-0.384431,0.019466,0.326460,-0.411354,-0.430405,0.106336,0.277541,-0.484190,-0.418080,0.355890,0.501784,0.678447
conditional,0.146736,-0.347087,-0.308642,0.405649,1.000000,-0.443121,0.549689,-0.352418,-0.113378,-0.434653,0.178408,0.498921,-0.603993,-0.081054,-0.128284,-0.533585,0.468841,-0.421131,0.710090
contrast,-0.650229,0.663716,0.678514,-0.324535,-0.443121,1.000000,-0.434595,-0.485141,-0.362609,-0.434550,0.588080,0.078136,0.172950,0.383410,0.623771,-0.130275,-0.702467,0.121638,-0.118030
dative_passive,0.384817,-0.419005,-0.453987,-0.100575,0.549689,-0.434595,1.000000,-0.057429,0.046787,-0.136489,0.371078,0.571775,-0.088723,-0.528986,-0.188929,-0.005331,0.493716,-0.668537,-0.059935
existential_no,0.413465,-0.169231,-0.140039,-0.384431,-0.352418,-0.485141,-0.057429,1.000000,0.482492,0.479446,-0.521977,-0.300374,0.080334,-0.417984,-0.331011,0.597773,0.334187,-0.174376,-0.464411
get_passive,0.449059,-0.684181,-0.554191,0.019466,-0.113378,-0.362609,0.046787,0.482492,1.000000,0.474096,-0.319060,-0.253621,0.229893,-0.820930,-0.817287,0.796202,0.589307,-0.186571,-0.066577
inference,0.139100,-0.540139,-0.309496,0.326460,-0.434653,-0.434550,-0.136489,0.479446,0.474096,1.000000,-0.741162,-0.791256,0.700616,-0.180436,-0.673682,0.457473,0.386222,0.488918,-0.284371
lexical_not_adj,-0.299685,0.391738,0.345696,-0.411354,0.178408,0.588080,0.371078,-0.521977,-0.319060,-0.741162,1.000000,0.643440,-0.121414,-0.080222,0.512500,-0.231877,-0.256353,-0.565476,-0.018995
morphological_neg,0.336936,0.200131,-0.193051,-0.430405,0.498921,0.078136,0.571775,-0.300374,-0.253621,-0.791256,0.643440,1.000000,-0.636868,-0.198020,0.412906,-0.138281,-0.156035,-0.682140,-0.013171
never,-0.324970,-0.243618,0.121108,0.106336,-0.603993,0.172950,-0.088723,0.080334,0.229893,0.700616,-0.121414,-0.636868,1.000000,-0.080920,-0.346649,0.349531,0.124339,0.336817,-0.418432
no_agent,-0.586356,0.571912,0.598913,0.277541,-0.081054,0.383410,-0.528986,-0.417984,-0.820930,-0.180436,-0.080222,-0.198020,-0.080920,1.000000,0.600744,-0.723407,-0.588281,0.603615,0.223016
possessive_chain,-0.355309,0.923616,0.626020,-0.484190,-0.128284,0.623771,-0.188929,-0.331011,-0.817287,-0.673682,0.512500,0.412906,-0.346649,0.600744,1.000000,-0.485607,-0.817783,0.005030,-0.160105
pp_chain,0.529078,-0.335830,-0.440226,-0.418080,-0.533585,-0.130275,-0.005331,0.597773,0.796202,0.457473,-0.231877,-0.138281,0.349531,-0.723407,-0.485607,1.000000,0.170393,-0.142365,-0.603080
relative_clause,0.217024,-0.848418,-0.428255,0.355890,0.468841,-0.702467,0.493716,0.334187,0.589307,0.386222,-0.256353,-0.156035,0.124339,-0.588281,-0.817783,0.170393,1.000000,-0.396697,0.311517
scope_quantifier,-0.223224,0.116199,0.078764,0.501784,-0.421131,0.121638,-0.668537,-0.174376,-0.186571,0.488918,-0.565476,-0.682140,0.336817,0.603615,0.005030,-0.142365,-0.396697,1.000000,0.025159
syntactic_do_not,-0.297590,-0.230238,0.048210,0.678447,0.710090,-0.118030,-0.059935,-0.464411,-0.066577,-0.284371,-0.018995,-0.013171,-0.418432,0.223016,-0.160105,-0.603080,0.311517,0.025159,1.000000
