subtype,and_or,by_phrase,causal,complement_clause,conditional,contrast,dative_passive,existential_no,get_passive,inference,lexical_not_adj,morphological_neg,never,no_agent,possessive_chain,pp_chain,relative_clause,scope_quantifier,syntactic_do_not
and_or,1.000000,0.924489,0.924870,0.807937,0.969871,0.940655,0.910669,0.933951,0.876130,0.961451,0.853025,0.942171,0.883040,0.934366,0.856306,0.843430,0.855001,0.799044,0.830270
by_phrase,0.924489,1.000000,0.892786,0.829258,0.900182,0.911525,0.928744,0.927069,0.931042,0.882925,0.900451,0.867153,0.912515,0.896250,0.918019,0.859842,0.875694,0.847220,0.862781
causal,0.924870,0.892786,1.000000,0.691046,0.953513,0.991006,0.832797,0.867281,0.783705,0.955218,0.776850,0.875344,0.834569,0.925549,0.767273,0.731703,0.747502,0.701206,0.735416
complement_clause,0.807937,0.829258,0.691046,1.000000,0.791618,0.698393,0.912938,0.872505,0.947507,0.761189,0.951364,0.787023,0.911154,0.740131,0.910157,0.950222,0.980652,0.920168,0.978880
conditional,0.969871,0.900182,0.953513,0.791618,1.000000,0.961709,0.905601,0.889959,0.843366,0.956662,0.857384,0.955364,0.873353,0.934853,0.839423,0.808014,0.833151,0.765188,0.823058
contrast,0.940655,0.911525,0.991006,0.698393,0.961709,1.000000,0.849975,0.876442,0.802954,0.954568,0.794007,0.903124,0.847371,0.938271,0.788006,0.743509,0.757232,0.721359,0.745616
dative_passive,0.910669,0.928744,0.832797,0.912938,0.905601,0.849975,1.000000,0.895748,0.945500,0.847653,0.949022,0.893493,0.911099,0.825496,0.966089,0.933339,0.945130,0.852789,0.915150
existential_no,0.933951,0.927069,0.867281,0.872505,0.889959,0.876442,0.895748,1.000000,0.933375,0.920842,0.883274,0.837096,0.929272,0.890072,0.861294,0.899476,0.910507,0.888852,0.888201
get_passive,0.876130,0.931042,0.783705,0.947507,0.843366,0.802954,0.945500,0.933375,1.000000,0.826237,0.950111,0.830031,0.930932,0.817079,0.937803,0.957075,0.973830,0.909815,0.966048
inference,0.961451,0.882925,0.955218,0.761189,0.956662,0.954568,0.847653,0.920842,0.826237,1.000000,0.793132,0.882077,0.881725,0.951523,0.775646,0.783470,0.806303,0.783680,0.792302
lexical_not_adj,0.853025,0.900451,0.776850,0.951364,0.857384,0.794007,0.949022,0.883274,0.950111,0.793132,1.000000,0.869015,0.942353,0.795832,0.946936,0.931918,0.957108,0.915256,0.955687
morphological_neg,0.942171,0.867153,0.875344,0.787023,0.955364,0.903124,0.893493,0.837096,0.830031,0.882077,0.869015,1.000000,0.848389,0.890517,0.839065,0.816795,0.819908,0.747590,0.818140
never,0.883040,0.912515,0.834569,0.911154,0.873353,0.847371,0.911099,0.929272,0.930932,0.881725,0.942353,0.848389,1.000000,0.875838,0.883859,0.900724,0.922776,0.950537,0.921534
no_agent,0.934366,0.896250,0.925549,0.740131,0.934853,0.938271,0.825496,0.890072,0.817079,0.951523,0.795832,0.890517,0.875838,1.000000,0.790732,0.763599,0.777041,0.805166,0.784494
possessive_chain,0.856306,0.918019,0.767273,0.910157,0.839423,0.788006,0.966089,0.861294,0.937803,0.775646,0.946936,0.839065,0.883859,0.790732,1.000000,0.940819,0.933463,0.869186,0.902148
pp_chain,0.843430,0.859842,0.731703,0.950222,0.808014,0.743509,0.933339,0.899476,0.957075,0.783470,0.931918,0.816795,0.900724,0.763599,0.940819,1.000000,0.973739,0.884147,0.942081
relative_clause,0.855001,0.875694,0.747502,0.980652,0.833151,0.757232,0.945130,0.910507,0.973830,0.806303,0.957108,0.819908,0.922776,0.777041,0.933463,0.973739,1.000000,0.906988,0.980822
scope_quantifier,0.799044,0.847220,0.701206,0.920168,0.765188,0.721359,0.852789,0.888852,0.909815,0.783680,0.915256,0.747590,0.950537,0.805166,0.869186,0.884147,0.906988,1.000000,0.915384
syntactic_do_not,0.830270,0.862781,0.735416,0.978880,0.823058,0.745616,0.915150,0.888201,0.966048,0.792302,0.955687,0.818140,0.921534,0.784494,0.902148,0.942081,0.980822,0.915384,1.000000
