subtype,and_or,by_phrase,causal,complement_clause,conditional,contrast,dative_passive,existential_no,get_passive,inference,lexical_not_adj,morphological_neg,never,no_agent,possessive_chain,pp_chain,relative_clause,scope_quantifier,syntactic_do_not
and_or,1.000000,-0.222035,0.461260,-0.471362,0.630252,0.481940,-0.128352,0.408386,-0.512875,0.527523,-0.309650,0.703568,-0.078624,0.381544,-0.608070,-0.337661,-0.384604,-0.380883,-0.618595
by_phrase,-0.222035,1.000000,0.143278,-0.326081,-0.105515,0.206834,0.044165,0.041685,0.129863,-0.097150,0.346662,-0.149278,0.306668,0.256914,0.330971,-0.390355,-0.428103,0.333842,-0.069659
causal,0.461260,0.143278,1.000000,-0.771593,0.784749,0.915933,-0.177083,0.174511,-0.754503,0.676181,-0.173451,0.512440,0.086903,0.687221,-0.406534,-0.667553,-0.732161,-0.327801,-0.771876
complement_clause,-0.471362,-0.326081,-0.771593,1.000000,-0.642756,-0.825819,0.108543,-0.279047,0.464460,-0.613908,0.081301,-0.540110,-0.187587,-0.663600,0.251453,0.676435,0.838638,0.153017,0.831592
conditional,0.630252,-0.105515,0.784749,-0.642756,1.000000,0.730024,0.009759,0.167014,-0.840762,0.638263,-0.165093,0.695693,-0.032370,0.554103,-0.349122,-0.644014,-0.606465,-0.391312,-0.712167
contrast,0.481940,0.206834,0.915933,-0.825819,0.730024,1.000000,-0.109555,0.176511,-0.631844,0.611171,-0.120562,0.589223,0.093364,0.772578,-0.373211,-0.657679,-0.799651,-0.250706,-0.817630
dative_passive,-0.128352,0.044165,-0.177083,0.108543,0.009759,-0.109555,1.000000,-0.412057,0.134152,-0.319226,0.116403,0.088506,-0.229099,-0.265283,0.432594,0.127923,0.066367,-0.364975,0.034072
existential_no,0.408386,0.041685,0.174511,-0.279047,0.167014,0.176511,-0.412057,1.000000,-0.059734,0.303627,0.147747,0.143325,0.460019,0.196971,-0.609903,-0.171779,-0.218029,0.184236,-0.326837
get_passive,-0.512875,0.129863,-0.754503,0.464460,-0.840762,-0.631844,0.134152,-0.059734,1.000000,-0.602324,0.294512,-0.575182,0.010579,-0.549646,0.312614,0.528800,0.519195,0.257939,0.609088
inference,0.527523,-0.097150,0.676181,-0.613908,0.638263,0.611171,-0.319226,0.303627,-0.602324,1.000000,-0.388360,0.368798,0.209567,0.512624,-0.619831,-0.501625,-0.451850,-0.189575,-0.618781
lexical_not_adj,-0.309650,0.346662,-0.173451,0.081301,-0.165093,-0.120562,0.116403,0.147747,0.294512,-0.388360,1.000000,-0.118303,0.533720,-0.196830,0.213384,-0.052484,-0.030240,0.427498,0.135868
morphological_neg,0.703568,-0.149278,0.512440,-0.540110,0.695693,0.589223,0.088506,0.143325,-0.575182,0.368798,-0.118303,1.000000,-0.058666,0.501783,-0.327220,-0.280833,-0.523281,-0.398290,-0.659418
never,-0.078624,0.306668,0.086903,-0.187587,-0.032370,0.093364,-0.229099,0.460019,0.010579,0.209567,0.533720,-0.058666,1.000000,0.138418,-0.248322,-0.298061,-0.311248,0.577009,-0.178409
no_agent,0.381544,0.256914,0.687221,-0.663600,0.554103,0.772578,-0.265283,0.196971,-0.549646,0.512624,-0.196830,0.501783,0.138418,1.000000,-0.324176,-0.599510,-0.769415,0.011731,-0.604312
possessive_chain,-0.608070,0.330971,-0.406534,0.251453,-0.349122,-0.373211,0.432594,-0.609903,0.312614,-0.619831,0.213384,-0.327220,-0.248322,-0.324176,1.000000,0.175492,0.168587,0.195263,0.320745
pp_chain,-0.337661,-0.390355,-0.667553,0.676435,-0.644014,-0.657679,0.127923,-0.171779,0.528800,-0.501625,-0.052484,-0.280833,-0.298061,-0.599510,0.175492,1.000000,0.783215,-0.119119,0.557868
relative_clause,-0.384604,-0.428103,-0.732161,0.838638,-0.606465,-0.799651,0.066367,-0.218029,0.519195,-0.451850,-0.030240,-0.523281,-0.311248,-0.769415,0.168587,0.783215,1.000000,-0.065661,0.786024
scope_quantifier,-0.380883,0.333842,-0.327801,0.153017,-0.391312,-0.250706,-0.364975,0.184236,0.257939,-0.189575,0.427498,-0.398290,0.577009,0.011731,0.195263,-0.119119,-0.065661,1.000000,0.223404
syntactic_do_not,-0.618595,-0.069659,-0.771876,0.831592,-0.712167,-0.817630,0.034072,-0.326837,0.609088,-0.618781,0.135868,-0.659418,-0.178409,-0.604312,0.320745,0.557868,0.786024,0.223404,1.000000
