subtype,and_or,by_phrase,causal,complement_clause,conditional,contrast,dative_passive,existential_no,get_passive,inference,lexical_not_adj,morphological_neg,never,no_agent,possessive_chain,pp_chain,relative_clause,scope_quantifier,syntactic_do_not
and_or,1.000000,-0.223503,0.080219,-0.313760,0.489515,-0.068332,0.237233,0.446921,-0.132312,0.420252,-0.468539,0.300266,-0.453882,-0.405967,-0.107430,0.120293,0.053711,-0.527487,-0.558329
by_phrase,-0.223503,1.000000,0.513096,-0.658014,-0.139564,0.746885,0.380759,-0.453151,-0.190701,-0.305149,0.055045,0.047720,-0.349429,0.813409,0.762758,-0.648078,-0.921927,-0.016098,-0.379920
causal,0.080219,0.513096,1.000000,-0.680371,0.465004,0.879454,0.255682,-0.149536,-0.481503,0.413611,-0.359000,-0.311304,-0.363059,0.488317,0.244554,-0.791823,-0.609264,-0.441212,-0.474881
complement_clause,-0.313760,-0.658014,-0.680371,1.000000,-0.079994,-0.826218,-0.458045,-0.068131,0.029248,-0.230084,0.108249,-0.067349,0.275690,-0.301828,-0.298800,0.419418,0.794854,0.455974,0.861384
conditional,0.489515,-0.139564,0.465004,-0.079994,1.000000,0.221872,0.393646,-0.234639,-0.635609,0.197006,-0.328472,0.265900,-0.690032,-0.057563,0.175879,-0.470759,0.126211,-0.712350,-0.029795
contrast,-0.068332,0.746885,0.879454,-0.826218,0.221872,1.000000,0.484027,-0.336584,-0.326331,0.111411,-0.009661,-0.043824,-0.287912,0.580471,0.438341,-0.749586,-0.806292,-0.420004,-0.567142
dative_passive,0.237233,0.380759,0.255682,-0.458045,0.393646,0.484027,1.000000,-0.575770,-0.359572,-0.248651,0.363009,0.663723,-0.394903,0.117356,0.570552,-0.373967,-0.356342,-0.598985,-0.410777
existential_no,0.446921,-0.453151,-0.149536,-0.068131,-0.234639,-0.336584,-0.575770,1.000000,0.557454,0.588536,-0.428277,-0.393875,0.276051,-0.574248,-0.739527,0.589528,0.279064,0.062306,-0.271412
get_passive,-0.132312,-0.190701,-0.481503,0.029248,-0.635609,-0.326331,-0.359572,0.557454,1.000000,-0.222296,0.349836,0.021389,0.385253,-0.513640,-0.418293,0.767632,0.266703,0.109336,0.092570
inference,0.420252,-0.305149,0.413611,-0.230084,0.197006,0.111411,-0.248651,0.588536,-0.222296,1.000000,-0.647362,-0.617860,0.232720,-0.175794,-0.570153,-0.083668,-0.002460,-0.026979,-0.483704
lexical_not_adj,-0.468539,0.055045,-0.359000,0.108249,-0.328472,-0.009661,0.363009,-0.428277,0.349836,-0.647362,1.000000,0.487983,0.341231,-0.169253,0.123352,0.238224,0.094160,-0.045758,0.208352
morphological_neg,0.300266,0.047720,-0.311304,-0.067349,0.265900,-0.043824,0.663723,-0.393875,0.021389,-0.617860,0.487983,1.000000,-0.432503,-0.207359,0.414953,0.131271,0.061658,-0.511241,-0.029669
never,-0.453882,-0.349429,-0.363059,0.275690,-0.690032,-0.287912,-0.394903,0.276051,0.385253,0.232720,0.341231,-0.432503,1.000000,-0.248545,-0.622064,0.451297,0.226387,0.591402,0.072998
no_agent,-0.405967,0.813409,0.488317,-0.301828,-0.057563,0.580471,0.117356,-0.574248,-0.513640,-0.175794,-0.169253,-0.207359,-0.248545,1.000000,0.668769,-0.793933,-0.778992,0.297581,-0.082228
possessive_chain,-0.107430,0.762758,0.244554,-0.298800,0.175879,0.438341,0.570552,-0.739527,-0.418293,-0.570153,0.123352,0.414953,-0.622064,0.668769,1.000000,-0.582127,-0.589507,-0.134567,-0.066796
pp_chain,0.120293,-0.648078,-0.791823,0.419418,-0.470759,-0.749586,-0.373967,0.589528,0.767632,-0.083668,0.238224,0.131271,0.451297,-0.793933,-0.582127,1.000000,0.663665,0.168254,0.209051
relative_clause,0.053711,-0.921927,-0.609264,0.794854,0.126211,-0.806292,-0.356342,0.279064,0.266703,-0.002460,0.094160,0.061658,0.226387,-0.778992,-0.589507,0.663665,1.000000,-0.000105,0.634562
scope_quantifier,-0.527487,-0.016098,-0.441212,0.455974,-0.712350,-0.420004,-0.598985,0.062306,0.109336,-0.026979,-0.045758,-0.511241,0.591402,0.297581,-0.134567,0.168254,-0.000105,1.000000,0.325439
syntactic_do_not,-0.558329,-0.379920,-0.474881,0.861384,-0.029795,-0.567142,-0.410777,-0.271412,0.092570,-0.483704,0.208352,-0.029669,0.072998,-0.082228,-0.066796,0.209051,0.634562,0.325439,1.000000
