subtype,and_or,by_phrase,causal,complement_clause,conditional,contrast,dative_passive,existential_no,get_passive,inference,lexical_not_adj,morphological_neg,never,no_agent,possessive_chain,pp_chain,relative_clause,scope_quantifier,syntactic_do_not
and_or,1.000000,-0.418371,0.554499,-0.456036,0.644072,0.554093,-0.197164,0.313330,-0.587086,0.565434,-0.511946,0.699111,-0.089314,0.443037,-0.584374,-0.322945,-0.398915,-0.478834,-0.612637
by_phrase,-0.418371,1.000000,-0.247819,-0.094340,-0.343467,-0.243877,-0.020684,-0.040797,0.396379,-0.304270,0.488344,-0.439558,0.235427,-0.103072,0.346584,-0.214924,-0.178602,0.461911,0.117910
causal,0.554499,-0.247819,1.000000,-0.706401,0.808838,0.895765,-0.153982,0.033882,-0.833549,0.792380,-0.492321,0.616057,0.060459,0.749905,-0.423826,-0.588717,-0.686862,-0.437789,-0.786926
complement_clause,-0.456036,-0.094340,-0.706401,1.000000,-0.671808,-0.736083,0.153724,-0.204230,0.543836,-0.701166,0.178330,-0.522411,-0.339140,-0.628934,0.194430,0.733589,0.821643,0.018278,0.805851
conditional,0.644072,-0.343467,0.808838,-0.671808,1.000000,0.771596,0.002637,0.099202,-0.777171,0.762432,-0.503845,0.678435,-0.046613,0.644205,-0.441544,-0.661508,-0.617999,-0.419863,-0.729964
contrast,0.554093,-0.243877,0.895765,-0.736083,0.771596,1.000000,-0.166782,0.059816,-0.815727,0.771223,-0.460455,0.756616,0.092332,0.754082,-0.451154,-0.612587,-0.732916,-0.390016,-0.832207
dative_passive,-0.197164,-0.020684,-0.153982,0.153724,0.002637,-0.166782,1.000000,-0.337936,0.178994,-0.072420,-0.076133,-0.118482,-0.368324,-0.344966,0.195963,0.172327,0.259331,-0.321536,0.170550
existential_no,0.313330,-0.040797,0.033882,-0.204230,0.099202,0.059816,-0.337936,1.000000,0.095674,0.170786,-0.033580,0.038329,0.286505,-0.008559,-0.497471,-0.112360,-0.194957,0.055926,-0.274034
get_passive,-0.587086,0.396379,-0.833549,0.543836,-0.777171,-0.815727,0.178994,0.095674,1.000000,-0.727909,0.553673,-0.733064,0.007084,-0.760137,0.360522,0.418255,0.549769,0.435945,0.732981
inference,0.565434,-0.304270,0.792380,-0.701166,0.762432,0.771223,-0.072420,0.170786,-0.727909,1.000000,-0.604968,0.567256,0.133287,0.624142,-0.506086,-0.584837,-0.598740,-0.368680,-0.713440
lexical_not_adj,-0.511946,0.488344,-0.492321,0.178330,-0.503845,-0.460455,-0.076133,-0.033580,0.553673,-0.604968,1.000000,-0.433631,0.439962,-0.424495,0.394307,-0.003462,0.026548,0.624661,0.275425
morphological_neg,0.699111,-0.439558,0.616057,-0.522411,0.678435,0.756616,-0.118482,0.038329,-0.733064,0.567256,-0.433631,1.000000,-0.057025,0.566792,-0.480038,-0.329885,-0.500791,-0.514692,-0.708204
never,-0.089314,0.235427,0.060459,-0.339140,-0.046613,0.092332,-0.368324,0.286505,0.007084,0.133287,0.439962,-0.057025,1.000000,0.055866,-0.122356,-0.386831,-0.427305,0.504317,-0.280336
no_agent,0.443037,-0.103072,0.749905,-0.628934,0.644205,0.754082,-0.344966,-0.008559,-0.760137,0.624142,-0.424495,0.566792,0.055866,1.000000,-0.363305,-0.608995,-0.721119,-0.130424,-0.666290
possessive_chain,-0.584374,0.346584,-0.423826,0.194430,-0.441544,-0.451154,0.195963,-0.497471,0.360522,-0.506086,0.394307,-0.480038,-0.122356,-0.363305,1.000000,0.256948,0.241250,0.427128,0.342914
pp_chain,-0.322945,-0.214924,-0.588717,0.733589,-0.661508,-0.612587,0.172327,-0.112360,0.418255,-0.584837,-0.003462,-0.329885,-0.386831,-0.608995,0.256948,1.000000,0.843822,-0.212877,0.620205
relative_clause,-0.398915,-0.178602,-0.686862,0.821643,-0.617999,-0.732916,0.259331,-0.194957,0.549769,-0.598740,0.026548,-0.500791,-0.427305,-0.721119,0.241250,0.843822,1.000000,-0.124677,0.818897
scope_quantifier,-0.478834,0.461911,-0.437789,0.018278,-0.419863,-0.390016,-0.321536,0.055926,0.435945,-0.368680,0.624661,-0.514692,0.504317,-0.130424,0.427128,-0.212877,-0.124677,1.000000,0.224742
syntactic_do_not,-0.612637,0.117910,-0.786926,0.805851,-0.729964,-0.832207,0.170550,-0.274034,0.732981,-0.713440,0.275425,-0.708204,-0.280336,-0.666290,0.342914,0.620205,0.818897,0.224742,1.000000
