model,source,scope,module,n_refs,mean,std,min,max
deepseek7b,phase290,L20,attn,3456.000000,119.147066,12.402129,88.915031,153.443146
deepseek7b,phase290,L20,mlp,3456.000000,403.208046,149.015815,189.212784,855.580017
deepseek7b,phase290,L20,next_layer_out,6336.000000,46062.883070,3234.285691,40020.449219,55483.550781
deepseek7b,phase290,L20,next_resid_in,6336.000000,46106.106852,3217.619164,40024.867187,55490.574219
deepseek7b,phase290,L20,resid,1440.000000,46106.106852,3217.619164,40024.867187,55490.574219
deepseek7b,phase290,L21,attn,3456.000000,169.234227,21.451285,116.420563,247.466599
deepseek7b,phase290,L21,mlp,3456.000000,276.400404,45.809121,156.210526,395.778503
deepseek7b,phase290,L21,next_layer_out,6336.000000,46032.660197,3246.268826,40013.863281,55476.660156
deepseek7b,phase290,L21,next_resid_in,6336.000000,46062.883070,3234.285691,40020.449219,55483.550781
deepseek7b,phase290,L21,resid,1440.000000,46062.883070,3234.285691,40020.449219,55483.550781
deepseek7b,phase290,L22,attn,3456.000000,158.610061,23.414622,111.439522,215.089676
deepseek7b,phase290,L22,mlp,3456.000000,416.366202,74.975807,210.273087,594.619385
deepseek7b,phase290,L22,next_layer_out,6336.000000,45889.240994,3244.388480,39915.046875,55328.800781
deepseek7b,phase290,L22,next_resid_in,6336.000000,46032.660197,3246.268826,40013.863281,55476.660156
deepseek7b,phase290,L22,resid,1440.000000,46032.660197,3246.268826,40013.863281,55476.660156
deepseek7b,phase290,L23,attn,3456.000000,212.323604,36.258236,137.857758,321.538330
deepseek7b,phase290,L23,mlp,3456.000000,538.259105,93.967764,277.326477,734.125610
deepseek7b,phase290,L23,next_layer_out,6336.000000,45417.518582,3211.435583,39534.652344,54793.820313
deepseek7b,phase290,L23,next_resid_in,6336.000000,45889.240994,3244.388480,39915.046875,55328.800781
deepseek7b,phase290,L23,resid,1440.000000,45889.240994,3244.388480,39915.046875,55328.800781
deepseek7b,phase290,L24,attn,3456.000000,261.452758,30.993322,192.435349,337.214539
deepseek7b,phase290,L24,mlp,3456.000000,740.479463,67.660944,590.673462,913.716797
deepseek7b,phase290,L24,next_layer_out,6336.000000,43415.761827,3062.207466,37886.128906,52434.093750
deepseek7b,phase290,L24,next_resid_in,6336.000000,45417.518582,3211.435583,39534.652344,54793.820313
deepseek7b,phase290,L24,resid,1440.000000,45417.518582,3211.435583,39534.652344,54793.820313
deepseek7b,phase290,L25,attn,3456.000000,251.162104,32.699537,180.603271,341.058014
deepseek7b,phase290,L25,mlp,3456.000000,2758.887406,213.950816,2340.227783,3278.035156
deepseek7b,phase290,L25,next_layer_out,6336.000000,27564.544447,2045.885082,25171.185547,34600.031250
deepseek7b,phase290,L25,next_resid_in,6336.000000,43415.761827,3062.207466,37886.128906,52434.093750
deepseek7b,phase290,L25,resid,1440.000000,43415.761827,3062.207466,37886.128906,52434.093750
deepseek7b,phase290,L26,attn,3456.000000,302.808226,34.182504,226.514999,467.792297
deepseek7b,phase290,L26,mlp,3456.000000,17398.507545,1075.585443,13626.393555,18990.373047
deepseek7b,phase290,L26,next_layer_out,6336.000000,21379.365404,1524.673289,19602.568359,27212.423828
deepseek7b,phase290,L26,next_resid_in,6336.000000,27564.544447,2045.885082,25171.185547,34600.031250
deepseek7b,phase290,L26,resid,1440.000000,27564.544447,2045.885082,25171.185547,34600.031250
