model,source,scope,category,subtype,pair,patch_type,alpha,progress,both_progress,progress_drop,kl_ratio,both_kl_ratio,kl_ratio_vs_both,max_abs_norm_z,max_norm_z,max_z_metric,norm_ratio_flag,numeric_illegal,off_manifold,functional_failure,labels
qwen3,phase290,L0,logical,and_or,logic_and_or_catdog,cross_battn_amlp,1.000000,0.037204,0.984416,0.947212,0.905378,0.003201,282.803794,1.029363,-1.029363,L0.mlp,0.000000,0.000000,0.000000,1.000000,norm_normal_functional_failure
qwen3,phase290,L0,logical,and_or,logic_and_or_tea,cross_battn_amlp,1.000000,0.122667,1.001116,0.878449,0.940080,0.014612,64.335452,1.911404,-1.911404,L0.next_layer_out,0.000000,0.000000,0.000000,1.000000,norm_normal_functional_failure
qwen3,phase290,L0,logical,and_or,logic_and_or_keys,cross_battn_amlp,1.000000,0.069977,0.954628,0.884652,1.035660,0.011155,92.845742,0.690161,0.690161,L0.attn,0.000000,0.000000,0.000000,1.000000,norm_normal_functional_failure
qwen3,phase290,L0,logical,and_or,logic_and_or_phone,cross_battn_amlp,1.000000,0.053485,0.906876,0.853390,0.949283,0.027562,34.441198,1.758509,1.758509,L0.attn,0.000000,0.000000,0.000000,1.000000,norm_normal_functional_failure
qwen3,phase290,L0,logical,and_or,logic_and_or_milk,cross_battn_amlp,1.000000,0.084039,1.033927,0.949888,0.979281,0.003811,256.961403,1.418171,1.418171,L0.next_layer_out,0.000000,0.000000,0.000000,1.000000,norm_normal_functional_failure
qwen3,phase290,L0,logical,and_or,logic_and_or_judge,cross_battn_amlp,1.000000,-0.009701,0.996916,1.006617,1.067541,0.007085,150.679211,0.563017,-0.563017,L0.next_layer_out,0.000000,0.000000,0.000000,1.000000,norm_normal_functional_failure
qwen3,phase290,L0,logical,and_or,logic_and_or_train,cross_battn_amlp,1.000000,0.002019,0.985826,0.983808,0.934562,0.001464,638.209331,0.698987,-0.698987,L0.next_layer_out,0.000000,0.000000,0.000000,1.000000,norm_normal_functional_failure
qwen3,phase290,L0,logical,and_or,logic_and_or_report,cross_battn_amlp,1.000000,0.051015,1.032262,0.981247,1.063417,0.016556,64.229889,1.031456,1.031456,L0.attn,0.000000,0.000000,0.000000,1.000000,norm_normal_functional_failure
qwen3,phase290,L0,logical,causal,logic_because_rain,cross_battn_amlp,1.000000,-0.038618,1.053017,1.091634,1.022548,0.002013,507.856907,1.406288,-1.406288,L0.next_layer_out,0.000000,0.000000,0.000000,1.000000,norm_normal_functional_failure
qwen3,phase290,L6,logical,causal,logic_because_rain,attn,1.000000,0.031534,0.079549,0.048015,0.941071,0.891082,1.056100,3.007562,-3.007562,L6.next_resid_in,1.000000,0.000000,1.000000,0.000000,off_manifold_no_drop
qwen3,phase290,L0,logical,causal,logic_because_tired,cross_battn_amlp,1.000000,-0.121982,1.008781,1.130763,1.189414,0.002448,485.882452,1.285779,1.285779,L0.mlp,0.000000,0.000000,0.000000,1.000000,norm_normal_functional_failure
qwen3,phase290,L0,logical,causal,logic_because_noise,attn,0.500000,-0.008747,0.993682,1.002429,0.896091,0.001955,458.428525,1.755212,-1.755212,L0.next_layer_out,1.000000,0.000000,1.000000,0.000000,off_manifold_no_drop
qwen3,phase290,L0,logical,causal,logic_because_noise,cross_battn_amlp,1.000000,-0.043122,0.993682,1.036804,0.663173,0.001955,339.270885,1.381585,-1.381585,L0.next_layer_out,0.000000,0.000000,0.000000,1.000000,norm_normal_functional_failure
qwen3,phase290,L0,logical,causal,logic_because_dark,cross_battn_amlp,1.000000,0.010913,0.996031,0.985117,1.027761,0.000365,2816.777301,1.756692,1.756692,L0.mlp,0.000000,0.000000,0.000000,1.000000,norm_normal_functional_failure
qwen3,phase290,L0,logical,causal,logic_because_sale,cross_battn_amlp,1.000000,0.147603,1.006871,0.859267,1.032300,0.011541,89.445618,1.548535,-1.548535,L0.attn,0.000000,0.000000,0.000000,1.000000,norm_normal_functional_failure
qwen3,phase290,L0,logical,causal,logic_because_error,attn,0.500000,0.157711,0.992384,0.834673,1.142814,0.000863,1324.804680,1.649223,-1.649223,L0.next_layer_out,1.000000,0.000000,1.000000,0.000000,off_manifold_no_drop
qwen3,phase290,L0,logical,causal,logic_because_error,cross_battn_amlp,1.000000,0.155217,0.992384,0.837168,1.049400,0.000863,1216.514980,1.145540,-1.145540,L0.next_layer_out,0.000000,0.000000,0.000000,1.000000,norm_normal_functional_failure
qwen3,phase290,L1,logical,causal,logic_because_error,attn,0.750000,0.050843,0.087288,0.036445,0.926711,0.669287,1.384624,1.608940,-1.608940,L1.next_resid_in,1.000000,0.000000,1.000000,0.000000,off_manifold_no_drop
qwen3,phase290,L1,logical,causal,logic_because_error,attn,1.000000,0.103195,0.087288,-0.015907,0.848067,0.669287,1.267121,1.702659,-1.702659,L1.next_resid_in,1.000000,0.000000,1.000000,0.000000,off_manifold_no_drop
qwen3,phase290,L6,logical,causal,logic_because_error,attn,0.750000,-0.019249,0.012768,0.032017,1.427476,1.099571,1.298211,2.743435,-2.743435,L6.next_resid_in,1.000000,0.000000,1.000000,0.000000,off_manifold_no_drop
