subtype,and_or,by_phrase,causal,complement_clause,conditional,contrast,dative_passive,existential_no,get_passive,inference,lexical_not_adj,morphological_neg,never,no_agent,possessive_chain,pp_chain,relative_clause,scope_quantifier,syntactic_do_not
and_or,1.000000,0.946254,0.956673,0.654310,0.948182,0.960258,0.906774,0.952924,0.942054,0.962646,0.959645,0.952797,0.923152,0.877678,0.936446,0.800948,0.959654,0.896267,0.891877
by_phrase,0.946254,1.000000,0.900804,0.732015,0.930914,0.945969,0.930365,0.932330,0.990025,0.945103,0.972538,0.922401,0.924462,0.873375,0.983213,0.873300,0.981367,0.927255,0.913214
causal,0.956673,0.900804,1.000000,0.649200,0.926435,0.931658,0.885163,0.933196,0.899449,0.932354,0.913589,0.911612,0.886384,0.854604,0.891890,0.791842,0.913999,0.872315,0.851182
complement_clause,0.654310,0.732015,0.649200,1.000000,0.700966,0.702555,0.754832,0.644015,0.769664,0.687228,0.685421,0.620541,0.746480,0.614320,0.762268,0.841363,0.737569,0.782426,0.745708
conditional,0.948182,0.930914,0.926435,0.700966,1.000000,0.956863,0.921806,0.953366,0.931869,0.970418,0.932974,0.918769,0.915176,0.873521,0.917412,0.809965,0.933933,0.884375,0.906621
contrast,0.960258,0.945969,0.931658,0.702555,0.956863,1.000000,0.902843,0.945516,0.953821,0.961728,0.948425,0.929198,0.937641,0.928020,0.928224,0.822759,0.952349,0.920788,0.910169
dative_passive,0.906774,0.930365,0.885163,0.754832,0.921806,0.902843,1.000000,0.898258,0.935480,0.923561,0.901003,0.865360,0.937965,0.817376,0.929887,0.862212,0.941169,0.914046,0.935598
existential_no,0.952924,0.932330,0.933196,0.644015,0.953366,0.945516,0.898258,1.000000,0.930241,0.961145,0.958258,0.937939,0.926843,0.893929,0.919283,0.759457,0.938740,0.906502,0.905009
get_passive,0.942054,0.990025,0.899449,0.769664,0.931869,0.953821,0.935480,0.930241,1.000000,0.947049,0.967941,0.916209,0.940230,0.884387,0.981358,0.881633,0.977494,0.949058,0.929040
inference,0.962646,0.945103,0.932354,0.687228,0.970418,0.961728,0.923561,0.961145,0.947049,1.000000,0.947453,0.935155,0.926487,0.897768,0.935891,0.818097,0.949770,0.900139,0.916478
lexical_not_adj,0.959645,0.972538,0.913589,0.685421,0.932974,0.948425,0.901003,0.958258,0.967941,0.947453,1.000000,0.951086,0.924744,0.874465,0.973541,0.833242,0.971545,0.923558,0.903952
morphological_neg,0.952797,0.922401,0.911612,0.620541,0.918769,0.929198,0.865360,0.937939,0.916209,0.935155,0.951086,1.000000,0.895621,0.852403,0.913600,0.754851,0.928887,0.869511,0.872604
never,0.923152,0.924462,0.886384,0.746480,0.915176,0.937641,0.937965,0.926843,0.940230,0.926487,0.924744,0.895621,1.000000,0.864968,0.917566,0.808143,0.935345,0.938481,0.937530
no_agent,0.877678,0.873375,0.854604,0.614320,0.873521,0.928020,0.817376,0.893929,0.884387,0.897768,0.874465,0.852403,0.864968,1.000000,0.845177,0.725759,0.880895,0.886321,0.869446
possessive_chain,0.936446,0.983213,0.891890,0.762268,0.917412,0.928224,0.929887,0.919283,0.981358,0.935891,0.973541,0.913600,0.917566,0.845177,1.000000,0.906996,0.983160,0.930760,0.908618
pp_chain,0.800948,0.873300,0.791842,0.841363,0.809965,0.822759,0.862212,0.759457,0.881633,0.818097,0.833242,0.754851,0.808143,0.725759,0.906996,1.000000,0.879044,0.830312,0.789492
relative_clause,0.959654,0.981367,0.913999,0.737569,0.933933,0.952349,0.941169,0.938740,0.977494,0.949770,0.971545,0.928887,0.935345,0.880895,0.983160,0.879044,1.000000,0.939473,0.925881
scope_quantifier,0.896267,0.927255,0.872315,0.782426,0.884375,0.920788,0.914046,0.906502,0.949058,0.900139,0.923558,0.869511,0.938481,0.886321,0.930760,0.830312,0.939473,1.000000,0.948969
syntactic_do_not,0.891877,0.913214,0.851182,0.745708,0.906621,0.910169,0.935598,0.905009,0.929040,0.916478,0.903952,0.872604,0.937530,0.869446,0.908618,0.789492,0.925881,0.948969,1.000000
