subtype,and_or,by_phrase,causal,complement_clause,conditional,contrast,dative_passive,existential_no,get_passive,inference,lexical_not_adj,morphological_neg,never,no_agent,possessive_chain,pp_chain,relative_clause,scope_quantifier,syntactic_do_not
and_or,1.000000,0.937556,0.979968,0.932866,0.980658,0.986331,0.937310,0.964658,0.935352,0.981263,0.915935,0.976830,0.942621,0.979200,0.931358,0.929363,0.921541,0.920065,0.911187
by_phrase,0.937556,1.000000,0.945565,0.992747,0.962550,0.948997,0.997984,0.981842,0.996853,0.948074,0.990366,0.959009,0.991903,0.951514,0.991887,0.986808,0.994587,0.985994,0.993957
causal,0.979968,0.945565,1.000000,0.946090,0.993075,0.995407,0.942946,0.966597,0.944084,0.997950,0.925213,0.988906,0.948340,0.992781,0.946002,0.950008,0.932882,0.928631,0.918828
complement_clause,0.932866,0.992747,0.946090,1.000000,0.960301,0.945515,0.992063,0.981238,0.991711,0.949130,0.988459,0.955509,0.986509,0.946313,0.995812,0.993488,0.991516,0.982423,0.987320
conditional,0.980658,0.962550,0.993075,0.960301,1.000000,0.996195,0.960244,0.982716,0.962441,0.994130,0.946434,0.992896,0.966822,0.993991,0.961845,0.963300,0.954059,0.948537,0.939058
contrast,0.986331,0.948997,0.995407,0.945515,0.996195,1.000000,0.947396,0.973491,0.948389,0.995237,0.929577,0.991670,0.953223,0.994963,0.945953,0.946738,0.935629,0.932866,0.921825
dative_passive,0.937310,0.997984,0.942946,0.992063,0.960244,0.947396,1.000000,0.982924,0.997126,0.945814,0.990790,0.956392,0.991249,0.948438,0.989088,0.983629,0.992896,0.984130,0.993307
existential_no,0.964658,0.981842,0.966597,0.981238,0.982716,0.973491,0.982924,1.000000,0.983632,0.970282,0.978651,0.975286,0.989584,0.970741,0.979893,0.977189,0.978550,0.976274,0.969520
get_passive,0.935352,0.996853,0.944084,0.991711,0.962441,0.948389,0.997126,0.983632,1.000000,0.947238,0.992968,0.956048,0.993715,0.950552,0.990584,0.985778,0.994173,0.989556,0.992366
inference,0.981263,0.948074,0.997950,0.949130,0.994130,0.995237,0.945814,0.970282,0.947238,1.000000,0.928670,0.988829,0.951829,0.991605,0.948249,0.952561,0.936254,0.931705,0.921777
lexical_not_adj,0.915935,0.990366,0.925213,0.988459,0.946434,0.929577,0.990790,0.978651,0.992968,0.928670,1.000000,0.938551,0.990785,0.933017,0.988290,0.981553,0.991633,0.991980,0.991044
morphological_neg,0.976830,0.959009,0.988906,0.955509,0.992896,0.991670,0.956392,0.975286,0.956048,0.988829,0.938551,1.000000,0.959002,0.988862,0.957171,0.958630,0.948907,0.939257,0.934493
never,0.942621,0.991903,0.948340,0.986509,0.966822,0.953223,0.991249,0.989584,0.993715,0.951829,0.990785,0.959002,1.000000,0.954968,0.987491,0.983437,0.990812,0.993296,0.989191
no_agent,0.979200,0.951514,0.992781,0.946313,0.993991,0.994963,0.948438,0.970741,0.950552,0.991605,0.933017,0.988862,0.954968,1.000000,0.947952,0.949691,0.939528,0.937311,0.926745
possessive_chain,0.931358,0.991887,0.946002,0.995812,0.961845,0.945953,0.989088,0.979893,0.990584,0.948249,0.988290,0.957171,0.987491,0.947952,1.000000,0.995138,0.992729,0.985568,0.986249
pp_chain,0.929363,0.986808,0.950008,0.993488,0.963300,0.946738,0.983629,0.977189,0.985778,0.952561,0.981553,0.958630,0.983437,0.949691,0.995138,1.000000,0.989767,0.979195,0.980826
relative_clause,0.921541,0.994587,0.932882,0.991516,0.954059,0.935629,0.992896,0.978550,0.994173,0.936254,0.991633,0.948907,0.990812,0.939528,0.992729,0.989767,1.000000,0.987006,0.992691
scope_quantifier,0.920065,0.985994,0.928631,0.982423,0.948537,0.932866,0.984130,0.976274,0.989556,0.931705,0.991980,0.939257,0.993296,0.937311,0.985568,0.979195,0.987006,1.000000,0.986128
syntactic_do_not,0.911187,0.993957,0.918828,0.987320,0.939058,0.921825,0.993307,0.969520,0.992366,0.921777,0.991044,0.934493,0.989191,0.926745,0.986249,0.980826,0.992691,0.986128,1.000000
