a,b,category_a,category_b,same_category,combined_similarity,layer_curve_similarity,single_alpha_similarity,block_curve_similarity,block_alpha_similarity,naturalness_similarity,dynamic_layer_similarity,dynamic_alpha_similarity,summary_similarity
by_phrase,dative_passive,passive,passive,True,0.997984,0.995482,0.999478,0.996507,0.999270,0.999755,0.995577,0.998160,0.999641
causal,inference,logical,logical,True,0.997950,0.994960,0.999901,0.998032,0.999654,0.997871,0.993311,0.999892,0.999977
dative_passive,get_passive,passive,passive,True,0.997126,0.994020,0.999322,0.994879,0.999395,0.999706,0.992300,0.997513,0.999873
by_phrase,get_passive,passive,passive,True,0.996853,0.994566,0.999135,0.994295,0.999358,0.998924,0.993863,0.994877,0.999806
conditional,contrast,logical,logical,True,0.996195,0.992882,0.994885,0.996956,0.996397,0.996234,0.995921,0.996375,0.999914
complement_clause,possessive_chain,recursive,recursive,True,0.995812,0.989001,0.998051,0.993945,0.997870,0.997616,0.992887,0.998041,0.999087
causal,contrast,logical,logical,True,0.995407,0.996931,0.999203,0.994118,0.998498,0.978493,0.996244,0.999879,0.999888
contrast,inference,logical,logical,True,0.995237,0.996861,0.999387,0.997209,0.999076,0.972322,0.997182,0.999910,0.999950
possessive_chain,pp_chain,recursive,recursive,True,0.995138,0.993080,0.997792,0.992052,0.997052,0.995857,0.988364,0.997232,0.999672
contrast,no_agent,logical,passive,False,0.994963,0.994969,0.997474,0.973604,0.998748,0.999724,0.996919,0.998352,0.999917
by_phrase,relative_clause,passive,recursive,False,0.994587,0.988148,0.993349,0.997145,0.993866,0.997499,0.993189,0.993817,0.999683
get_passive,relative_clause,passive,recursive,False,0.994173,0.985366,0.995723,0.995431,0.995489,0.999704,0.987077,0.995078,0.999518
conditional,inference,logical,logical,True,0.994130,0.995503,0.997459,0.998580,0.998004,0.969599,0.997268,0.996674,0.999956
conditional,no_agent,logical,passive,False,0.993991,0.986316,0.998752,0.976899,0.998610,0.997997,0.994575,0.998819,0.999960
by_phrase,syntactic_do_not,passive,negation,False,0.993957,0.982654,0.991851,0.996069,0.996021,0.999946,0.987990,0.997549,0.999579
get_passive,never,passive,negation,False,0.993715,0.980463,0.998258,0.994282,0.995572,0.995542,0.988152,0.997924,0.999528
complement_clause,pp_chain,recursive,recursive,True,0.993488,0.988559,0.994371,0.990525,0.996198,0.998496,0.985165,0.996208,0.998385
dative_passive,syntactic_do_not,passive,negation,False,0.993307,0.986303,0.991928,0.996404,0.994062,0.999931,0.985780,0.992837,0.999215
never,scope_quantifier,negation,negation,True,0.993296,0.983932,0.996044,0.989413,0.996053,0.998153,0.986933,0.996053,0.999786
causal,conditional,logical,logical,True,0.993075,0.990280,0.997572,0.996959,0.998704,0.972395,0.992189,0.996583,0.999921
get_passive,lexical_not_adj,passive,negation,False,0.992968,0.988819,0.996153,0.982407,0.994111,0.999795,0.987409,0.995652,0.999394
dative_passive,relative_clause,passive,recursive,False,0.992896,0.983196,0.992966,0.994692,0.992274,0.998820,0.989369,0.992795,0.999058
conditional,morphological_neg,logical,negation,False,0.992896,0.974825,0.997858,0.989552,0.996801,0.999270,0.986412,0.998702,0.999746
causal,no_agent,logical,passive,False,0.992781,0.995252,0.999158,0.977406,0.999248,0.977568,0.994928,0.998727,0.999959
by_phrase,complement_clause,passive,recursive,False,0.992747,0.988558,0.998044,0.993420,0.994951,0.985494,0.988659,0.993287,0.999561
