subtype,and_or,by_phrase,causal,complement_clause,conditional,contrast,dative_passive,existential_no,get_passive,inference,lexical_not_adj,morphological_neg,never,no_agent,possessive_chain,pp_chain,relative_clause,scope_quantifier,syntactic_do_not
and_or,1.000000,0.913011,0.983673,0.894346,0.985338,0.979119,0.933269,0.965001,0.882531,0.981684,0.919189,0.991726,0.953799,0.977557,0.901358,0.909754,0.920584,0.917307,0.879394
by_phrase,0.913011,1.000000,0.918884,0.979039,0.935234,0.922980,0.983598,0.970268,0.982897,0.922779,0.988411,0.911414,0.982441,0.932456,0.976232,0.972348,0.980259,0.986059,0.974968
causal,0.983673,0.918884,1.000000,0.891567,0.991953,0.995315,0.942483,0.967039,0.887750,0.994420,0.925588,0.991013,0.956746,0.993827,0.902651,0.916720,0.917980,0.919977,0.884263
complement_clause,0.894346,0.979039,0.891567,1.000000,0.907362,0.893454,0.966240,0.957130,0.985200,0.893590,0.981534,0.885445,0.969884,0.905571,0.968792,0.972748,0.977676,0.986577,0.983956
conditional,0.985338,0.935234,0.991953,0.907362,1.000000,0.991769,0.954798,0.977687,0.904072,0.993026,0.940432,0.992347,0.968694,0.991093,0.917140,0.923436,0.933653,0.937138,0.898624
contrast,0.979119,0.922980,0.995315,0.893454,0.991769,1.000000,0.946823,0.967555,0.894548,0.994921,0.928505,0.987402,0.956893,0.995011,0.905332,0.919171,0.920964,0.922470,0.887521
dative_passive,0.933269,0.983598,0.942483,0.966240,0.954798,0.946823,1.000000,0.969989,0.973269,0.949662,0.979434,0.933736,0.978558,0.951537,0.970623,0.972912,0.981705,0.973963,0.964422
existential_no,0.965001,0.970268,0.967039,0.957130,0.977687,0.967555,0.969989,1.000000,0.953646,0.967055,0.976308,0.965771,0.988373,0.975335,0.948146,0.957586,0.962222,0.975056,0.946815
get_passive,0.882531,0.982897,0.887750,0.985200,0.904072,0.894548,0.973269,0.953646,1.000000,0.894109,0.980466,0.876341,0.963858,0.906090,0.967602,0.968068,0.978483,0.980284,0.979985
inference,0.981684,0.922779,0.994420,0.893590,0.993026,0.994921,0.949662,0.967055,0.894109,1.000000,0.926525,0.987893,0.956875,0.992712,0.908036,0.919979,0.925564,0.922675,0.890313
lexical_not_adj,0.919189,0.988411,0.925588,0.981534,0.940432,0.928505,0.979434,0.976308,0.980466,0.926525,1.000000,0.920025,0.987337,0.938851,0.970972,0.968953,0.978033,0.991485,0.972293
morphological_neg,0.991726,0.911414,0.991013,0.885445,0.992347,0.987402,0.933736,0.965771,0.876341,0.987893,0.920025,1.000000,0.955181,0.983605,0.896194,0.904151,0.912990,0.916262,0.873132
never,0.953799,0.982441,0.956746,0.969884,0.968694,0.956893,0.978558,0.988373,0.963858,0.956875,0.987337,0.955181,1.000000,0.963353,0.962652,0.962978,0.973997,0.986121,0.959478
no_agent,0.977557,0.932456,0.993827,0.905571,0.991093,0.995011,0.951537,0.975335,0.906090,0.992712,0.938851,0.983605,0.963353,1.000000,0.914197,0.929250,0.928925,0.932324,0.899939
possessive_chain,0.901358,0.976232,0.902651,0.968792,0.917140,0.905332,0.970623,0.948146,0.967602,0.908036,0.970972,0.896194,0.962652,0.914197,1.000000,0.977529,0.980950,0.971286,0.969168
pp_chain,0.909754,0.972348,0.916720,0.972748,0.923436,0.919171,0.972912,0.957586,0.968068,0.919979,0.968953,0.904151,0.962978,0.929250,0.977529,1.000000,0.974575,0.970346,0.967725
relative_clause,0.920584,0.980259,0.917980,0.977676,0.933653,0.920964,0.981705,0.962222,0.978483,0.925564,0.978033,0.912990,0.973997,0.928925,0.980950,0.974575,1.000000,0.977328,0.970329
scope_quantifier,0.917307,0.986059,0.919977,0.986577,0.937138,0.922470,0.973963,0.975056,0.980284,0.922675,0.991485,0.916262,0.986121,0.932324,0.971286,0.970346,0.977328,1.000000,0.978115
syntactic_do_not,0.879394,0.974968,0.884263,0.983956,0.898624,0.887521,0.964422,0.946815,0.979985,0.890313,0.972293,0.873132,0.959478,0.899939,0.969168,0.967725,0.970329,0.978115,1.000000
