subtype,and_or,by_phrase,casual,causal,center_embedding,complement_clause,concise,conditional,contrast,dative_passive,deep_complement,deictic_switch,double_relative,en_fr_phrase,en_fr_word,en_zh_phrase,en_zh_word,existential_no,formal,future_will,get_passive,he_coref,inference,it_coref,lexical_not_adj,long_passive,morphological_neg,negated_condition,nested_condition,nested_contrast,nested_passive,never,no_agent,past_simple,perfect,poetic,possessive_chain,pp_chain,progressive,relative_clause,scope_quantifier,she_coref,syntactic_do_not,target_language_switch,they_coref
and_or,1.000000,0.949097,0.602114,0.932825,0.702434,0.620452,0.713814,0.948935,0.939091,0.945106,0.752675,0.766570,0.709315,0.741976,0.746595,0.747484,0.752693,0.939928,0.752279,0.723781,0.941778,0.747882,0.933820,0.686334,0.938990,0.693971,0.982109,0.755576,0.698304,0.710208,0.724240,0.934616,0.857779,0.734969,0.717796,0.751293,0.891089,0.811689,0.736675,0.962356,0.901909,0.739788,0.891921,0.757008,0.730292
by_phrase,0.949097,1.000000,0.623928,0.882964,0.706178,0.656626,0.689421,0.929661,0.928609,0.955337,0.752145,0.727914,0.726141,0.752563,0.733909,0.733082,0.743687,0.945819,0.743347,0.747180,0.980349,0.726902,0.918941,0.696322,0.975877,0.706058,0.959914,0.738895,0.691728,0.704769,0.711464,0.952088,0.861591,0.719207,0.748560,0.733314,0.909648,0.840712,0.760140,0.970649,0.929264,0.742289,0.924836,0.728921,0.748903
casual,0.602114,0.623928,1.000000,0.523602,0.834573,0.651015,0.717024,0.621678,0.588835,0.625286,0.796378,0.780319,0.754663,0.759100,0.787954,0.771030,0.724336,0.662176,0.813438,0.858143,0.651216,0.774105,0.628276,0.821375,0.637455,0.787149,0.599593,0.805159,0.806703,0.822219,0.819205,0.646841,0.546811,0.839765,0.847066,0.766818,0.617912,0.615835,0.769864,0.624686,0.639611,0.791597,0.623833,0.781187,0.690478
causal,0.932825,0.882964,0.523602,1.000000,0.644140,0.556263,0.653545,0.872414,0.921909,0.883399,0.713795,0.701545,0.692815,0.691633,0.670676,0.686161,0.693146,0.876311,0.680708,0.667472,0.860507,0.669238,0.856746,0.618017,0.892172,0.675907,0.902110,0.668526,0.661355,0.627536,0.631790,0.865532,0.856088,0.661904,0.666600,0.703202,0.814341,0.768267,0.700731,0.888502,0.833989,0.695136,0.795809,0.698710,0.688629
center_embedding,0.702434,0.706178,0.834573,0.644140,1.000000,0.746227,0.827203,0.712248,0.696263,0.732923,0.936849,0.921339,0.932129,0.871647,0.892409,0.866110,0.864858,0.656829,0.963590,0.844481,0.697796,0.888062,0.655365,0.820753,0.742579,0.956769,0.676891,0.945006,0.988171,0.974023,0.959066,0.745827,0.641532,0.902808,0.851258,0.917193,0.768004,0.769297,0.861268,0.728572,0.737331,0.925752,0.712794,0.874987,0.782410
complement_clause,0.620452,0.656626,0.651015,0.556263,0.746227,1.000000,0.583023,0.661677,0.634876,0.712359,0.671836,0.673735,0.649807,0.600336,0.644791,0.612875,0.606268,0.600589,0.704034,0.586138,0.684181,0.646510,0.604430,0.603633,0.671478,0.682298,0.597681,0.708181,0.737591,0.741954,0.724581,0.748916,0.563731,0.664157,0.590902,0.681083,0.778245,0.831837,0.609549,0.696505,0.758793,0.654196,0.713066,0.622364,0.523514
concise,0.713814,0.689421,0.717024,0.653545,0.827203,0.583023,1.000000,0.705404,0.686766,0.698482,0.881686,0.894018,0.826696,0.863594,0.859691,0.860453,0.863327,0.664945,0.878714,0.846374,0.690585,0.861466,0.665727,0.862494,0.686661,0.818517,0.697175,0.872124,0.822486,0.829318,0.841758,0.698472,0.649238,0.866405,0.839748,0.844464,0.627216,0.630051,0.864979,0.692998,0.698278,0.865371,0.685823,0.882575,0.849875
conditional,0.948935,0.929661,0.621678,0.872414,0.712248,0.661677,0.705404,1.000000,0.930974,0.933551,0.756465,0.756056,0.700279,0.742945,0.733548,0.741200,0.726078,0.924965,0.740280,0.711754,0.928551,0.729213,0.935335,0.698528,0.927119,0.697609,0.943106,0.740803,0.702954,0.705507,0.720657,0.928462,0.829395,0.736286,0.706425,0.713617,0.877723,0.808370,0.706390,0.931254,0.889391,0.749380,0.904921,0.742180,0.696216
contrast,0.939091,0.928609,0.588835,0.921909,0.696263,0.634876,0.686766,0.930974,1.000000,0.914531,0.753955,0.724946,0.725848,0.711227,0.696646,0.698570,0.681201,0.912434,0.710083,0.691144,0.916752,0.699623,0.889471,0.648355,0.948431,0.733769,0.926335,0.689955,0.711604,0.659779,0.663450,0.938814,0.924857,0.707205,0.693880,0.718612,0.855369,0.809947,0.713434,0.923557,0.894834,0.730650,0.875205,0.721617,0.681935
dative_passive,0.945106,0.955337,0.625286,0.883399,0.732923,0.712359,0.698482,0.933551,0.914531,1.000000,0.761879,0.757699,0.731792,0.744319,0.741374,0.738482,0.740327,0.913954,0.767352,0.727479,0.938767,0.740238,0.910697,0.687846,0.940831,0.719657,0.937457,0.766731,0.723142,0.738040,0.739016,0.955594,0.834856,0.735681,0.729748,0.767103,0.929653,0.870343,0.750079,0.967900,0.936838,0.740526,0.934907,0.734951,0.716241
