subtype,and_or,by_phrase,casual,causal,center_embedding,complement_clause,concise,conditional,contrast,dative_passive,deep_complement,deictic_switch,double_relative,en_fr_phrase,en_fr_word,en_zh_phrase,en_zh_word,existential_no,formal,future_will,get_passive,he_coref,inference,it_coref,lexical_not_adj,long_passive,morphological_neg,negated_condition,nested_condition,nested_contrast,nested_passive,never,no_agent,past_simple,perfect,poetic,possessive_chain,pp_chain,progressive,relative_clause,scope_quantifier,she_coref,syntactic_do_not,target_language_switch,they_coref
and_or,1.000000,0.921845,0.731700,0.965639,0.719144,0.932052,0.741895,0.961570,0.970088,0.933050,0.725376,0.750611,0.721478,0.730357,0.755468,0.726209,0.731422,0.949035,0.701400,0.722213,0.931779,0.755604,0.961378,0.735412,0.912991,0.731808,0.953948,0.710828,0.718960,0.715372,0.726867,0.914470,0.964426,0.757865,0.725783,0.720728,0.927342,0.907982,0.723640,0.910274,0.906685,0.767637,0.907581,0.763229,0.746878
by_phrase,0.921845,1.000000,0.657408,0.956226,0.777585,0.988808,0.661473,0.964642,0.957260,0.994985,0.766074,0.761601,0.779552,0.781122,0.748843,0.773810,0.774160,0.988828,0.780375,0.782634,0.990314,0.765799,0.952029,0.648476,0.992548,0.781971,0.971940,0.781256,0.771631,0.774887,0.781773,0.988129,0.963887,0.754856,0.781724,0.780665,0.983472,0.985252,0.781604,0.992914,0.984577,0.741771,0.992547,0.731139,0.661234
casual,0.731700,0.657408,1.000000,0.705765,0.849388,0.663341,0.995534,0.700626,0.707515,0.669875,0.844869,0.870853,0.837996,0.847808,0.904141,0.849149,0.861173,0.673674,0.810482,0.831309,0.669781,0.886794,0.701464,0.989172,0.646465,0.854107,0.682930,0.814100,0.841806,0.829511,0.846794,0.634381,0.701737,0.900089,0.833955,0.824937,0.670573,0.656893,0.827167,0.641360,0.634745,0.957092,0.657902,0.944140,0.988939
causal,0.965639,0.956226,0.705765,1.000000,0.758612,0.962783,0.714206,0.991919,0.995279,0.963731,0.761898,0.760961,0.765639,0.771479,0.783612,0.772305,0.774527,0.976986,0.753618,0.765851,0.959290,0.778189,0.994719,0.703238,0.951356,0.774545,0.988603,0.750681,0.755093,0.748003,0.770087,0.944658,0.993573,0.780568,0.767180,0.759339,0.963595,0.954677,0.764295,0.947172,0.939274,0.766769,0.938482,0.769855,0.720596
center_embedding,0.719144,0.777585,0.849388,0.758612,1.000000,0.781729,0.852933,0.758645,0.754784,0.781147,0.979871,0.956747,0.992164,0.981844,0.944551,0.985988,0.978269,0.772693,0.983691,0.990988,0.773065,0.962113,0.751983,0.843111,0.777816,0.987489,0.769633,0.981291,0.990468,0.989685,0.989684,0.768542,0.757968,0.947495,0.991121,0.985159,0.777074,0.784046,0.989903,0.777632,0.768298,0.939721,0.775764,0.930732,0.849158
complement_clause,0.932052,0.988808,0.663341,0.962783,0.781729,1.000000,0.668842,0.965837,0.959776,0.993966,0.772264,0.766352,0.781656,0.777492,0.750042,0.776797,0.770709,0.987597,0.772774,0.783681,0.987132,0.765585,0.958088,0.658268,0.989007,0.779209,0.972384,0.775626,0.776597,0.781068,0.779404,0.983470,0.963242,0.753418,0.785209,0.779821,0.988006,0.990177,0.785408,0.987622,0.980282,0.743424,0.983840,0.736099,0.667197
concise,0.741895,0.661473,0.995534,0.714206,0.852933,0.668842,1.000000,0.708952,0.716276,0.675565,0.855976,0.874106,0.846213,0.854615,0.916623,0.858580,0.868135,0.679469,0.815821,0.838287,0.674787,0.894573,0.709974,0.991564,0.650660,0.861911,0.691339,0.817948,0.848723,0.833831,0.854206,0.637280,0.708840,0.910085,0.841446,0.829800,0.678680,0.659986,0.834453,0.645931,0.638911,0.962274,0.659685,0.955454,0.994838
conditional,0.961570,0.964642,0.700626,0.991919,0.758645,0.965837,0.708952,1.000000,0.996210,0.971540,0.766625,0.753667,0.765138,0.772606,0.782788,0.775590,0.772321,0.983539,0.756193,0.764617,0.971139,0.777588,0.991081,0.697203,0.960409,0.775296,0.992416,0.752211,0.760206,0.747945,0.772436,0.955650,0.994034,0.778226,0.765897,0.759223,0.975372,0.961203,0.762031,0.960728,0.953953,0.764039,0.948807,0.769372,0.714976
contrast,0.970088,0.957260,0.707515,0.995279,0.754784,0.959776,0.716276,0.996210,1.000000,0.965857,0.762632,0.757356,0.762648,0.769383,0.784700,0.771631,0.772880,0.979738,0.749219,0.762310,0.963518,0.779440,0.993892,0.704938,0.952019,0.772649,0.990393,0.746517,0.754420,0.744833,0.767849,0.946766,0.996008,0.782369,0.764072,0.755190,0.965284,0.951767,0.760781,0.950257,0.942637,0.767428,0.938763,0.773060,0.722630
dative_passive,0.933050,0.994985,0.669875,0.963731,0.781147,0.993966,0.675565,0.971540,0.965857,1.000000,0.773114,0.763986,0.784188,0.780896,0.759074,0.779940,0.775872,0.990365,0.775546,0.785316,0.992173,0.769901,0.959809,0.663290,0.991397,0.783962,0.977871,0.776388,0.776252,0.777404,0.783899,0.984963,0.969404,0.761606,0.785843,0.778937,0.987775,0.987927,0.785041,0.991778,0.981660,0.747926,0.988650,0.743190,0.675627
