subtype,and_or,by_phrase,casual,causal,center_embedding,complement_clause,concise,conditional,contrast,dative_passive,deep_complement,deictic_switch,double_relative,en_fr_phrase,en_fr_word,en_zh_phrase,en_zh_word,existential_no,formal,future_will,get_passive,he_coref,inference,it_coref,lexical_not_adj,long_passive,morphological_neg,negated_condition,nested_condition,nested_contrast,nested_passive,never,no_agent,past_simple,perfect,poetic,possessive_chain,pp_chain,progressive,relative_clause,scope_quantifier,she_coref,syntactic_do_not,target_language_switch,they_coref
and_or,1.000000,0.900672,0.750899,0.981703,0.676677,0.889337,0.445738,0.974912,0.980950,0.935438,0.624324,0.768005,0.721037,0.766781,0.750724,0.729376,0.761389,0.939771,0.745622,0.749706,0.858111,0.764973,0.973998,0.688500,0.918063,0.731405,0.993125,0.738921,0.669959,0.612046,0.699985,0.949236,0.966300,0.773192,0.752993,0.742703,0.881332,0.906341,0.741794,0.877653,0.939858,0.775715,0.850882,0.763667,0.747805
by_phrase,0.900672,1.000000,0.649679,0.914323,0.767667,0.961345,0.305266,0.931259,0.905219,0.971769,0.619349,0.744316,0.629434,0.749441,0.764227,0.770963,0.750954,0.961808,0.753876,0.765452,0.943523,0.731520,0.911285,0.566862,0.981467,0.768991,0.899693,0.765172,0.750641,0.667009,0.769535,0.979987,0.900650,0.736769,0.764879,0.742666,0.926087,0.963417,0.774189,0.904699,0.981282,0.704535,0.969329,0.702963,0.643382
casual,0.750899,0.649679,1.000000,0.736538,0.784724,0.658522,0.716529,0.729926,0.740196,0.709557,0.821908,0.927713,0.954854,0.916433,0.878283,0.850612,0.921811,0.687121,0.901151,0.881192,0.661273,0.934124,0.742850,0.942563,0.669209,0.878215,0.755092,0.884456,0.789302,0.764898,0.833841,0.686979,0.717808,0.930890,0.883604,0.900572,0.668272,0.672922,0.869217,0.666467,0.693902,0.971707,0.594230,0.961507,0.989004
causal,0.981703,0.914323,0.736538,1.000000,0.686663,0.889193,0.403013,0.980458,0.988548,0.946250,0.615635,0.771125,0.696025,0.769150,0.765437,0.747309,0.774308,0.942409,0.745104,0.760315,0.865325,0.771526,0.984112,0.651042,0.932923,0.745364,0.989310,0.736300,0.676660,0.609086,0.709246,0.956410,0.982750,0.782301,0.763859,0.749998,0.886505,0.912204,0.752187,0.873975,0.947771,0.771915,0.866789,0.765268,0.728302
center_embedding,0.676677,0.767667,0.784724,0.686663,1.000000,0.742124,0.383039,0.698936,0.664841,0.739545,0.808397,0.918508,0.754255,0.906710,0.926047,0.945851,0.906050,0.744932,0.936314,0.935817,0.724373,0.885330,0.684689,0.697901,0.744655,0.966644,0.669624,0.960189,0.957900,0.866519,0.962923,0.745584,0.656633,0.888140,0.936235,0.928564,0.704737,0.746673,0.949934,0.662751,0.743887,0.848706,0.782214,0.847804,0.783315
complement_clause,0.889337,0.961345,0.658522,0.889193,0.742124,1.000000,0.363383,0.912594,0.882117,0.955243,0.650986,0.715830,0.658100,0.717034,0.724901,0.726208,0.715574,0.955138,0.747731,0.743267,0.954068,0.709963,0.893743,0.611212,0.962125,0.747712,0.880356,0.752306,0.740886,0.686461,0.752264,0.959552,0.881713,0.709284,0.736995,0.730916,0.919334,0.961345,0.746868,0.921992,0.960223,0.696060,0.948535,0.693093,0.654542
concise,0.445738,0.305266,0.716529,0.403013,0.383039,0.363383,1.000000,0.381722,0.422604,0.375493,0.546351,0.531929,0.723147,0.490935,0.422856,0.411007,0.502419,0.384467,0.500287,0.445776,0.366712,0.506992,0.428041,0.789891,0.326645,0.467034,0.449871,0.481819,0.410017,0.430906,0.420934,0.334669,0.381976,0.497710,0.443140,0.518293,0.371098,0.367397,0.435262,0.399585,0.346417,0.616074,0.275683,0.556913,0.722811
conditional,0.974912,0.931259,0.729926,0.980458,0.698936,0.912594,0.381722,1.000000,0.977768,0.965475,0.637497,0.758978,0.703356,0.767335,0.761914,0.735447,0.764031,0.950731,0.747990,0.756206,0.899451,0.772023,0.981817,0.648432,0.945333,0.750306,0.978800,0.746383,0.690043,0.647704,0.731568,0.966382,0.971399,0.776329,0.757902,0.745413,0.903527,0.926222,0.750597,0.908280,0.960815,0.764257,0.880957,0.767749,0.723846
contrast,0.980950,0.905219,0.740196,0.988548,0.664841,0.882117,0.422604,0.977768,1.000000,0.944108,0.600709,0.764155,0.711313,0.763119,0.751023,0.729966,0.763571,0.938787,0.732382,0.753648,0.858394,0.770417,0.988162,0.662193,0.924133,0.731953,0.982898,0.728378,0.662673,0.592915,0.690433,0.948975,0.989292,0.779265,0.756015,0.739337,0.873743,0.909420,0.742806,0.877044,0.943612,0.774145,0.851327,0.766329,0.735228
dative_passive,0.935438,0.971769,0.709557,0.946250,0.739545,0.955243,0.375493,0.965475,0.944108,1.000000,0.662908,0.761239,0.693892,0.764156,0.764200,0.754974,0.761877,0.963521,0.768321,0.766306,0.952915,0.762942,0.954310,0.635056,0.972349,0.773300,0.935286,0.765317,0.733772,0.685244,0.759008,0.977663,0.941880,0.761931,0.766179,0.758174,0.932841,0.970992,0.766530,0.934077,0.974757,0.747112,0.935653,0.746437,0.704374
