subtype,and_or,by_phrase,casual,causal,center_embedding,complement_clause,concise,conditional,contrast,dative_passive,deep_complement,deictic_switch,double_relative,en_fr_phrase,en_fr_word,en_zh_phrase,en_zh_word,existential_no,formal,future_will,get_passive,he_coref,inference,it_coref,lexical_not_adj,long_passive,morphological_neg,negated_condition,nested_condition,nested_contrast,nested_passive,never,no_agent,past_simple,perfect,poetic,possessive_chain,pp_chain,progressive,relative_clause,scope_quantifier,she_coref,syntactic_do_not,target_language_switch,they_coref
and_or,1.000000,0.934009,0.706254,0.944061,0.765935,0.712972,0.845992,0.953250,0.940078,0.938016,0.861802,0.901884,0.821190,0.881752,0.890027,0.889619,0.881219,0.935760,0.887001,0.813726,0.921568,0.895491,0.939485,0.761516,0.937417,0.780740,0.977517,0.873113,0.745453,0.755602,0.789875,0.946788,0.856287,0.864059,0.828552,0.893819,0.890963,0.829498,0.834317,0.959353,0.913144,0.874274,0.905064,0.897769,0.873888
by_phrase,0.934009,1.000000,0.763053,0.889489,0.836000,0.770565,0.821422,0.923283,0.921826,0.962292,0.898653,0.847342,0.876355,0.890108,0.866809,0.858769,0.872486,0.927270,0.889886,0.851692,0.981411,0.837708,0.913618,0.817707,0.966810,0.842165,0.946341,0.889232,0.799512,0.812145,0.836737,0.945613,0.853357,0.828170,0.871922,0.866325,0.919045,0.889414,0.898840,0.974115,0.943861,0.879187,0.930841,0.857735,0.876765
casual,0.706254,0.763053,1.000000,0.646012,0.838326,0.751648,0.734114,0.747977,0.710844,0.760732,0.822923,0.774638,0.792047,0.777404,0.787983,0.769157,0.730567,0.778169,0.823942,0.829324,0.788936,0.758059,0.749445,0.822493,0.766082,0.798751,0.717647,0.826018,0.793398,0.804746,0.814877,0.767050,0.671419,0.807757,0.838472,0.781373,0.758467,0.734346,0.796242,0.758169,0.776683,0.806482,0.756467,0.786798,0.718625
causal,0.944061,0.889489,0.646012,1.000000,0.718731,0.649983,0.789091,0.906605,0.936762,0.892984,0.823701,0.840421,0.803010,0.830847,0.820793,0.834500,0.826351,0.896451,0.819223,0.763263,0.863226,0.826661,0.885536,0.694345,0.909996,0.766398,0.915933,0.792219,0.718146,0.686826,0.710585,0.895574,0.872858,0.802218,0.777340,0.850671,0.834632,0.801219,0.798092,0.902561,0.851290,0.829050,0.832092,0.841403,0.829837
center_embedding,0.765935,0.836000,0.838326,0.718731,1.000000,0.853426,0.787486,0.785035,0.771236,0.859718,0.921618,0.837923,0.923481,0.837240,0.846095,0.803509,0.820779,0.733174,0.922209,0.814097,0.835220,0.810551,0.737557,0.805299,0.834654,0.958391,0.748077,0.924992,0.973813,0.969018,0.961926,0.831925,0.709585,0.821374,0.831694,0.857873,0.889335,0.907722,0.875411,0.838032,0.851248,0.874282,0.812790,0.818299,0.753328
complement_clause,0.712972,0.770565,0.751648,0.649983,0.853426,1.000000,0.610441,0.742178,0.731835,0.824063,0.754658,0.693712,0.726628,0.653010,0.686507,0.637246,0.636636,0.688421,0.758825,0.652788,0.794347,0.660119,0.691491,0.679053,0.757645,0.785616,0.697239,0.780311,0.848310,0.856162,0.831968,0.817373,0.654609,0.671898,0.680975,0.722501,0.852401,0.873271,0.705641,0.783462,0.819613,0.703831,0.789970,0.661101,0.570001
concise,0.845992,0.821422,0.734114,0.789091,0.787486,0.610441,1.000000,0.833320,0.823644,0.804440,0.877696,0.891379,0.836349,0.881572,0.875615,0.875736,0.876388,0.804672,0.890889,0.820706,0.817331,0.865039,0.804099,0.831227,0.831510,0.793290,0.833436,0.879083,0.753162,0.764254,0.793151,0.823807,0.790583,0.859464,0.826644,0.861492,0.767801,0.706216,0.855256,0.829673,0.831253,0.881689,0.806408,0.895276,0.869020
conditional,0.953250,0.923283,0.747977,0.906605,0.785035,0.742178,0.833320,1.000000,0.938619,0.924676,0.877842,0.901479,0.817206,0.881999,0.867587,0.881522,0.843880,0.931746,0.875636,0.811860,0.916216,0.863833,0.943760,0.794161,0.935340,0.786273,0.950455,0.863945,0.753284,0.751691,0.791231,0.933934,0.847955,0.870556,0.832147,0.866995,0.883550,0.837136,0.816430,0.941389,0.902916,0.890566,0.913457,0.886258,0.841150
contrast,0.940078,0.921826,0.710844,0.936762,0.771236,0.731835,0.823644,0.938619,1.000000,0.905059,0.875158,0.873336,0.842894,0.860737,0.847021,0.851081,0.816842,0.915138,0.855484,0.792938,0.904668,0.849647,0.899771,0.744073,0.953574,0.822320,0.929723,0.824738,0.766595,0.717817,0.748307,0.944995,0.928688,0.843237,0.819449,0.873700,0.860974,0.831125,0.823454,0.927345,0.906912,0.875703,0.884305,0.873197,0.834372
dative_passive,0.938016,0.962292,0.760732,0.892984,0.859718,0.824063,0.804440,0.924676,0.905059,1.000000,0.887101,0.855415,0.860710,0.863002,0.857948,0.840722,0.849901,0.901652,0.896229,0.850945,0.946138,0.834736,0.898011,0.790590,0.934815,0.849710,0.926307,0.894784,0.829691,0.855076,0.859090,0.960251,0.822831,0.841933,0.865659,0.876887,0.934742,0.918217,0.881940,0.973231,0.937407,0.854848,0.933539,0.841744,0.824990
deep_complement,0.861802,0.898653,0.822923,0.823701,0.921618,0.754658,0.877696,0.877842,0.875158,0.887101,1.000000,0.942669,0.939496,0.926097,0.908653,0.896691,0.891259,0.847410,0.953482,0.868732,0.882686,0.890400,0.824564,0.867905,0.898888,0.915288,0.861640,0.952615,0.890970,0.877322,0.894093,0.881731,0.836013,0.897251,0.896752,0.933504,0.873728,0.839215,0.930620,0.893382,0.889565,0.958398,0.849800,0.933049,0.884626
deictic_switch,0.901884,0.847342,0.774638,0.840421,0.837923,0.693712,0.891379,0.901479,0.873336,0.855415,0.942669,1.000000,0.865732,0.919095,0.921781,0.925541,0.906692,0.852428,0.949183,0.839547,0.840045,0.927858,0.852742,0.831601,0.863447,0.828684,0.886991,0.938095,0.811406,0.814856,0.848015,0.872120,0.832529,0.923060,0.865581,0.953356,0.838665,0.763366,0.867357,0.878795,0.872189,0.949388,0.849286,0.960226,0.889779
double_relative,0.821190,0.876355,0.792047,0.803010,0.923481,0.726628,0.836349,0.817206,0.842894,0.860710,0.939496,0.865732,1.000000,0.902283,0.884832,0.861888,0.868863,0.798385,0.930779,0.847951,0.857930,0.839020,0.796026,0.818295,0.889897,0.936667,0.818588,0.924988,0.894940,0.861492,0.884784,0.856383,0.801609,0.854678,0.871992,0.888695,0.864489,0.847803,0.910494,0.876504,0.870624,0.909233,0.831315,0.860867,0.858837
en_fr_phrase,0.881752,0.890108,0.777404,0.830847,0.837240,0.653010,0.881572,0.881999,0.860737,0.863002,0.926097,0.919095,0.902283,1.000000,0.965840,0.962412,0.942526,0.871539,0.936577,0.886576,0.884271,0.924336,0.889322,0.847216,0.883985,0.840976,0.896642,0.931479,0.787308,0.807905,0.844485,0.879325,0.837754,0.906942,0.904489,0.913340,0.819177,0.763706,0.911721,0.899573,0.894257,0.938886,0.874541,0.927257,0.946016
en_fr_word,0.890027,0.866809,0.787983,0.820793,0.846095,0.686507,0.875615,0.867587,0.847021,0.857948,0.908653,0.921781,0.884832,0.965840,1.000000,0.968474,0.940991,0.861608,0.939785,0.866054,0.876790,0.960264,0.887203,0.823772,0.863988,0.843887,0.893887,0.938936,0.805154,0.830113,0.866492,0.879966,0.807000,0.923614,0.876523,0.918290,0.829043,0.772581,0.880685,0.882684,0.894507,0.918395,0.867732,0.932404,0.918372
