a,b,category_a,category_b,same_category,combined_similarity,layer_curve_similarity,single_alpha_similarity,block_curve_similarity,block_alpha_similarity,naturalness_similarity,dynamic_layer_similarity,dynamic_alpha_similarity,summary_similarity
future_will,perfect,tense,tense,True,0.836690,0.818656,0.923135,0.952055,0.913873,1.000000,0.673826,0.691287,0.935501
nested_contrast,nested_passive,logical,passive,False,0.834630,0.848534,0.924148,0.804400,0.739173,1.000000,0.869378,0.718969,0.840893
center_embedding,nested_contrast,recursive,logical,False,0.772101,0.785672,0.847280,0.614793,0.593292,1.000000,0.914614,0.460057,0.818992
center_embedding,nested_condition,recursive,logical,False,0.766230,0.842491,0.899324,0.743813,0.887641,1.000000,0.820650,0.492341,0.836827
nested_condition,nested_passive,logical,passive,False,0.762502,0.732643,0.388351,0.505594,0.169671,1.000000,0.949949,0.925567,0.621382
long_passive,nested_condition,passive,logical,False,0.743461,0.669713,0.834215,0.506258,0.589160,1.000000,0.928748,0.790360,0.716378
possessive_chain,pp_chain,recursive,recursive,True,0.740565,0.872436,0.933636,0.824605,0.910352,0.713713,0.765915,-0.443456,0.907083
nested_condition,nested_contrast,logical,logical,True,0.723223,0.678255,0.574928,0.544022,0.336823,1.000000,0.845795,0.737228,0.643005
center_embedding,nested_passive,recursive,passive,False,0.701284,0.766385,0.701612,0.514606,0.315316,1.000000,0.829392,0.523327,0.750224
nested_condition,pp_chain,logical,recursive,False,0.698735,0.713826,0.678449,0.505545,0.446318,-0.440592,0.921985,0.826319,0.456231
long_passive,pp_chain,passive,recursive,False,0.673715,0.720015,0.541058,0.568114,0.681746,-0.440592,0.931208,0.816076,0.313975
center_embedding,pp_chain,recursive,recursive,True,0.645744,0.732349,0.755893,0.619793,0.474449,-0.440592,0.851738,0.411917,0.436129
formal,negated_condition,style,logical,False,0.617673,0.635248,0.734266,0.703106,0.705253,1.000000,0.445670,-0.252228,0.716052
formal,nested_passive,style,passive,False,0.597923,0.785310,0.775527,0.815938,0.768963,1.000000,0.475016,-0.576223,0.686051
negated_condition,nested_passive,logical,passive,False,0.592801,0.805263,0.724736,0.789268,0.574606,1.000000,0.532243,-0.313590,0.616875
contrast,no_agent,logical,passive,False,0.586583,0.459222,0.839347,0.525176,0.345038,0.673533,0.677503,0.203111,0.783456
center_embedding,long_passive,recursive,passive,False,0.584158,0.581701,0.568566,0.313866,0.333450,1.000000,0.797126,0.447597,0.609066
and_or,morphological_neg,logical,negation,False,0.570777,0.276059,0.672804,0.408995,0.312091,0.796511,0.683717,0.347422,0.727684
complement_clause,nested_contrast,recursive,logical,False,0.562738,0.604792,0.879832,0.631569,0.718491,-0.639252,0.603204,0.693286,0.548364
long_passive,nested_passive,passive,passive,True,0.552344,0.429629,0.074936,0.095330,0.019118,1.000000,0.966748,0.906096,0.325463
nested_passive,pp_chain,passive,recursive,False,0.546874,0.475269,0.580883,0.136680,0.247603,-0.440592,0.918283,0.816959,0.123120
nested_contrast,pp_chain,logical,recursive,False,0.539593,0.463373,0.674709,0.171640,0.169317,-0.440592,0.837075,0.771230,0.185290
negated_condition,nested_contrast,logical,logical,True,0.529842,0.626493,0.653161,0.736661,0.675463,1.000000,0.527742,-0.290974,0.654506
formal,nested_contrast,style,logical,False,0.516745,0.744451,0.772496,0.822564,0.772746,1.000000,0.291459,-0.477892,0.699331
by_phrase,get_passive,passive,passive,True,0.504533,0.600658,0.413630,0.453846,0.618892,0.162516,0.795495,0.601152,0.821620
causal,contrast,logical,logical,True,0.501536,0.408988,0.787360,0.472248,0.812146,0.189798,0.564117,0.445030,0.740700
center_embedding,possessive_chain,recursive,recursive,True,0.500152,0.796517,0.694043,0.721851,0.530675,-0.561173,0.761719,-0.245733,0.383309
en_fr_word,en_zh_phrase,translation,translation,True,0.495813,0.224223,0.324442,0.612650,0.471148,1.000000,0.551706,0.650025,0.703793
by_phrase,lexical_not_adj,passive,negation,False,0.487680,0.510703,0.201305,0.701983,0.443603,0.766877,-0.312906,0.553495,0.699416
dative_passive,pp_chain,passive,recursive,False,0.484914,0.119573,0.070017,0.124251,0.281882,0.478367,0.763322,0.531565,0.535503
