subtype,and_or,by_phrase,casual,causal,center_embedding,complement_clause,concise,conditional,contrast,dative_passive,deep_complement,deictic_switch,double_relative,en_fr_phrase,en_fr_word,en_zh_phrase,en_zh_word,existential_no,formal,future_will,get_passive,he_coref,inference,it_coref,lexical_not_adj,long_passive,morphological_neg,negated_condition,nested_condition,nested_contrast,nested_passive,never,no_agent,past_simple,perfect,poetic,possessive_chain,pp_chain,progressive,relative_clause,scope_quantifier,she_coref,syntactic_do_not,target_language_switch,they_coref
and_or,1.000000,0.926068,0.883929,0.967012,0.849743,0.930384,0.890471,0.963817,0.971413,0.933621,0.864425,0.900034,0.859675,0.882879,0.906167,0.870226,0.874039,0.951322,0.831306,0.855520,0.931134,0.902618,0.962695,0.880442,0.912448,0.871654,0.954943,0.842474,0.854828,0.850351,0.867897,0.917423,0.965598,0.904923,0.859527,0.871454,0.927341,0.911455,0.856351,0.909306,0.911404,0.916026,0.909417,0.912797,0.892232
by_phrase,0.926068,1.000000,0.804226,0.958886,0.923541,0.989836,0.795016,0.967316,0.958944,0.995351,0.911930,0.901119,0.925273,0.921948,0.884189,0.920394,0.919937,0.989858,0.926293,0.929343,0.991209,0.907972,0.954570,0.780023,0.992634,0.929803,0.974177,0.927065,0.914907,0.920341,0.928664,0.988456,0.964264,0.899081,0.928550,0.924711,0.984549,0.986227,0.928232,0.992906,0.985734,0.882167,0.992238,0.869903,0.791869
casual,0.883929,0.804226,1.000000,0.858747,0.861647,0.804953,0.994365,0.853092,0.860955,0.813516,0.866147,0.901931,0.859247,0.883126,0.926401,0.873922,0.881746,0.824112,0.828366,0.849147,0.812611,0.908544,0.855366,0.986083,0.784153,0.875235,0.837972,0.834213,0.861064,0.850073,0.870079,0.783515,0.854752,0.919227,0.851993,0.863540,0.810339,0.799846,0.845780,0.783067,0.777652,0.967073,0.794069,0.957553,0.988527
causal,0.967012,0.958886,0.858747,1.000000,0.887515,0.959317,0.861482,0.992473,0.995453,0.963142,0.900718,0.906841,0.902153,0.918922,0.929589,0.913548,0.914455,0.977977,0.880562,0.896166,0.956921,0.923278,0.995159,0.846817,0.948692,0.911346,0.988680,0.880457,0.891090,0.883125,0.908535,0.945997,0.993889,0.925993,0.898018,0.905845,0.961771,0.955591,0.894550,0.944382,0.942127,0.913044,0.938953,0.917973,0.863387
center_embedding,0.849743,0.923541,0.861647,0.887515,1.000000,0.928070,0.848790,0.891175,0.883742,0.926534,0.978459,0.946883,0.990258,0.970812,0.930770,0.982154,0.976241,0.911011,0.984694,0.989118,0.919579,0.955102,0.882222,0.841321,0.922060,0.986836,0.900085,0.981875,0.987608,0.988632,0.988210,0.912450,0.888136,0.945686,0.988560,0.977764,0.923261,0.927907,0.987997,0.923444,0.913566,0.932507,0.921735,0.922875,0.843047
complement_clause,0.930384,0.989836,0.804953,0.959317,0.928070,1.000000,0.795951,0.962524,0.955286,0.994216,0.918400,0.900953,0.927877,0.915617,0.880919,0.921535,0.915706,0.985219,0.919209,0.929188,0.987504,0.904507,0.954570,0.784205,0.988903,0.926650,0.969227,0.921463,0.920585,0.927977,0.926265,0.983144,0.958066,0.894685,0.930479,0.921348,0.987940,0.990372,0.930745,0.987598,0.982423,0.879332,0.985402,0.869993,0.791463
concise,0.890471,0.795016,0.994365,0.861482,0.848790,0.795951,1.000000,0.853997,0.864329,0.805396,0.860993,0.899362,0.851247,0.881209,0.933214,0.868624,0.875143,0.818981,0.815110,0.838510,0.803454,0.906458,0.858034,0.989944,0.772221,0.867924,0.839604,0.820816,0.851932,0.838400,0.862394,0.772805,0.855643,0.919103,0.842081,0.857695,0.803088,0.788824,0.835236,0.772123,0.766199,0.966361,0.780250,0.962681,0.995696
conditional,0.963817,0.967316,0.853092,0.992473,0.891175,0.962524,0.853997,1.000000,0.996366,0.971447,0.908769,0.900789,0.905629,0.920672,0.928055,0.919268,0.915474,0.984353,0.887585,0.899656,0.968908,0.924161,0.991319,0.838674,0.957721,0.915200,0.992804,0.886064,0.898961,0.887322,0.913874,0.956576,0.993656,0.925305,0.901367,0.907977,0.973411,0.961603,0.897158,0.957896,0.956012,0.910726,0.949459,0.916503,0.855626
contrast,0.971413,0.958944,0.860955,0.995453,0.883742,0.955286,0.864329,0.996366,1.000000,0.964153,0.901271,0.904469,0.899462,0.917415,0.931153,0.912667,0.912757,0.979686,0.876231,0.892958,0.959908,0.924664,0.993988,0.849402,0.948098,0.909669,0.990127,0.876535,0.889794,0.880202,0.906420,0.946698,0.995972,0.927763,0.895245,0.902510,0.962273,0.951467,0.891349,0.946047,0.944174,0.914303,0.937902,0.921126,0.866374
dative_passive,0.933621,0.995351,0.813516,0.963142,0.926534,0.994216,0.805396,0.971447,0.964153,1.000000,0.916966,0.902854,0.928505,0.920854,0.891357,0.925081,0.920613,0.989725,0.922220,0.932040,0.992858,0.910503,0.959161,0.791227,0.992035,0.931074,0.976907,0.922718,0.917352,0.922012,0.929611,0.985496,0.966975,0.903815,0.932515,0.922463,0.988437,0.987978,0.931666,0.991805,0.983968,0.886454,0.989533,0.878678,0.802434
