a,b,category_a,category_b,same_category,combined_similarity,layer_curve_similarity,single_alpha_similarity,block_curve_similarity,block_alpha_similarity,naturalness_similarity,dynamic_layer_similarity,dynamic_alpha_similarity,summary_similarity
future_will,perfect,tense,tense,True,0.998955,0.996567,0.999408,0.998828,0.999561,0.000000,0.998626,0.999743,0.999953
perfect,progressive,tense,tense,True,0.998856,0.997167,0.999199,0.997265,0.999556,0.000000,0.999142,0.999742,0.999921
future_will,progressive,tense,tense,True,0.998791,0.999172,0.999268,0.995896,0.998952,0.000000,0.998554,0.999828,0.999868
conditional,contrast,logical,logical,True,0.996366,0.996690,0.990975,0.996566,0.997026,0.996234,0.996999,0.996547,0.999893
long_passive,nested_passive,passive,passive,True,0.996290,0.988599,0.997797,0.995906,0.999168,0.000000,0.994138,0.998978,0.999445
contrast,no_agent,logical,passive,False,0.995972,0.985176,0.996771,0.992268,0.999011,0.999724,0.996638,0.998349,0.999837
concise,they_coref,style,coreference,False,0.995696,0.992296,0.997331,0.987419,0.997309,0.000000,0.999346,0.996333,0.999835
causal,contrast,logical,logical,True,0.995453,0.992744,0.999068,0.996285,0.999580,0.978493,0.997880,0.999632,0.999940
by_phrase,dative_passive,passive,passive,True,0.995351,0.975622,0.998206,0.993637,0.999331,0.999755,0.996997,0.999667,0.999590
causal,inference,logical,logical,True,0.995159,0.991639,0.990951,0.986996,0.997142,0.997871,0.996808,0.999914,0.999954
casual,concise,style,style,True,0.994365,0.995873,0.996742,0.985621,0.999679,0.000000,0.995191,0.987858,0.999593
complement_clause,dative_passive,recursive,passive,False,0.994216,0.993702,0.998919,0.992145,0.998052,0.985251,0.988840,0.997393,0.999427
contrast,inference,logical,logical,True,0.993988,0.996530,0.995021,0.991819,0.998361,0.972322,0.998082,0.999776,0.999991
causal,no_agent,logical,passive,False,0.993889,0.989805,0.996537,0.991983,0.999112,0.977568,0.996884,0.999306,0.999917
double_relative,nested_passive,recursive,passive,False,0.993824,0.979008,0.996834,0.992090,0.999409,0.000000,0.994179,0.995877,0.999369
conditional,no_agent,logical,passive,False,0.993656,0.983384,0.989161,0.992068,0.996351,0.997997,0.991327,0.999049,0.999911
double_relative,future_will,recursive,tense,False,0.993332,0.992737,0.997863,0.993897,0.999658,0.000000,0.977958,0.992016,0.999196
double_relative,perfect,recursive,tense,False,0.993189,0.995802,0.998102,0.991933,0.998684,0.000000,0.976393,0.992371,0.999042
long_passive,perfect,passive,tense,False,0.993188,0.981026,0.998083,0.994578,0.998522,0.000000,0.985031,0.995449,0.999626
double_relative,long_passive,recursive,passive,False,0.993117,0.978579,0.998110,0.995255,0.998005,0.000000,0.990247,0.992955,0.998668
future_will,long_passive,tense,passive,False,0.992979,0.978381,0.997577,0.996095,0.998542,0.000000,0.985701,0.994934,0.999621
by_phrase,relative_clause,passive,recursive,False,0.992906,0.985155,0.994806,0.986985,0.992705,0.997499,0.993372,0.993589,0.999134
dative_passive,get_passive,passive,passive,True,0.992858,0.969672,0.998038,0.981182,0.999157,0.999706,0.995875,0.999401,0.999830
conditional,morphological_neg,logical,negation,False,0.992804,0.978055,0.994392,0.987819,0.994816,0.999270,0.989492,0.998727,0.999859
en_zh_phrase,long_passive,translation,passive,False,0.992724,0.989184,0.993505,0.988466,0.996770,0.000000,0.989058,0.993045,0.999041
future_will,nested_passive,tense,passive,False,0.992721,0.987131,0.996715,0.993662,0.999288,0.000000,0.978295,0.994431,0.999525
by_phrase,lexical_not_adj,passive,negation,False,0.992634,0.989798,0.998092,0.976626,0.996509,0.999658,0.987393,0.993436,0.999560
never,scope_quantifier,negation,negation,True,0.992537,0.973528,0.996721,0.989185,0.998193,0.998153,0.988370,0.996687,0.999463
en_fr_phrase,poetic,translation,style,False,0.992473,0.987589,0.995105,0.983522,0.992521,0.000000,0.992873,0.996127,0.999577
causal,conditional,logical,logical,True,0.992473,0.989539,0.994417,0.992834,0.997437,0.972395,0.995202,0.997997,0.999961
