subtype,and_or,by_phrase,casual,causal,center_embedding,complement_clause,concise,conditional,contrast,dative_passive,deep_complement,deictic_switch,double_relative,en_fr_phrase,en_fr_word,en_zh_phrase,en_zh_word,existential_no,formal,future_will,get_passive,he_coref,inference,it_coref,lexical_not_adj,long_passive,morphological_neg,negated_condition,nested_condition,nested_contrast,nested_passive,never,no_agent,past_simple,perfect,poetic,possessive_chain,pp_chain,progressive,relative_clause,scope_quantifier,she_coref,syntactic_do_not,target_language_switch,they_coref
and_or,1.000000,0.908550,0.895657,0.981038,0.784899,0.891605,0.547370,0.974689,0.979889,0.935502,0.742570,0.914245,0.853190,0.910766,0.891124,0.869040,0.900922,0.941537,0.865493,0.876148,0.863793,0.865091,0.974131,0.754835,0.917460,0.863467,0.992643,0.857277,0.772982,0.719697,0.829273,0.949550,0.965781,0.919397,0.874125,0.885740,0.879497,0.903908,0.876127,0.882138,0.941799,0.917676,0.854268,0.893845,0.881344
by_phrase,0.908550,1.000000,0.796418,0.925740,0.902363,0.962184,0.410862,0.936609,0.912719,0.973228,0.760555,0.880732,0.755442,0.885540,0.904020,0.906746,0.890607,0.964145,0.887096,0.907981,0.943907,0.834224,0.917313,0.643738,0.983157,0.915890,0.908427,0.908006,0.878745,0.805621,0.914959,0.979928,0.910535,0.875497,0.907005,0.887020,0.927780,0.966443,0.917513,0.910413,0.981352,0.839979,0.972511,0.832676,0.775316
casual,0.895657,0.796418,1.000000,0.882623,0.794777,0.795195,0.728061,0.877185,0.885368,0.850441,0.828706,0.937719,0.947568,0.927205,0.893601,0.873308,0.933926,0.837981,0.906609,0.894683,0.799325,0.897644,0.887846,0.891444,0.812563,0.890011,0.899576,0.889391,0.793951,0.774323,0.851195,0.835825,0.865818,0.940979,0.893507,0.916660,0.807565,0.814514,0.890859,0.812317,0.831365,0.976077,0.738934,0.961857,0.983341
causal,0.981038,0.925740,0.882623,1.000000,0.794346,0.893239,0.502961,0.982558,0.989937,0.950888,0.735602,0.916141,0.832956,0.916092,0.906445,0.887323,0.916119,0.946073,0.866661,0.891518,0.874476,0.874395,0.986240,0.715578,0.934702,0.877682,0.989392,0.855712,0.778543,0.717565,0.839587,0.958672,0.983294,0.928220,0.889607,0.894440,0.887851,0.913038,0.889931,0.881374,0.951683,0.913842,0.873231,0.896606,0.862720
center_embedding,0.784899,0.902363,0.794777,0.794346,1.000000,0.890171,0.416596,0.810228,0.777248,0.870039,0.828202,0.898482,0.741353,0.884670,0.913425,0.924304,0.887828,0.868348,0.911386,0.926274,0.873956,0.830346,0.792040,0.652941,0.883440,0.961420,0.778255,0.956705,0.953325,0.886554,0.958232,0.875200,0.774825,0.871616,0.929128,0.917772,0.850464,0.883609,0.938113,0.814344,0.888991,0.833509,0.923695,0.825298,0.770432
complement_clause,0.891605,0.962184,0.795195,0.893239,0.890171,1.000000,0.456346,0.911559,0.882987,0.954047,0.790340,0.850317,0.769840,0.848215,0.865384,0.862288,0.849786,0.953448,0.875494,0.882171,0.957960,0.801474,0.892476,0.675881,0.963742,0.895676,0.882424,0.897156,0.876219,0.827661,0.897329,0.957503,0.884837,0.842008,0.877054,0.870975,0.920603,0.962630,0.888080,0.928806,0.961580,0.822334,0.951335,0.811940,0.772928
concise,0.547370,0.410862,0.728061,0.502961,0.416596,0.456346,1.000000,0.482483,0.518326,0.476033,0.569511,0.557646,0.725208,0.515397,0.455507,0.453042,0.545322,0.482234,0.567834,0.488609,0.460294,0.504762,0.524859,0.840602,0.430858,0.497730,0.546948,0.525181,0.440792,0.467290,0.452149,0.456673,0.480667,0.526155,0.484460,0.547720,0.475895,0.472320,0.484176,0.504294,0.442804,0.652094,0.377526,0.620170,0.750068
conditional,0.974689,0.936609,0.877185,0.982558,0.810228,0.911559,0.482483,1.000000,0.978564,0.963924,0.756772,0.906166,0.836179,0.914946,0.905486,0.878322,0.907899,0.952394,0.870325,0.890576,0.901630,0.876030,0.982284,0.711864,0.943562,0.885379,0.979909,0.868429,0.796105,0.756313,0.863760,0.965356,0.972573,0.924604,0.887788,0.891647,0.900083,0.923297,0.890681,0.909248,0.960161,0.906272,0.882710,0.897805,0.857397
contrast,0.979889,0.912719,0.885368,0.989937,0.777248,0.882987,0.518326,0.978564,1.000000,0.944524,0.722166,0.909997,0.843499,0.911172,0.895358,0.873244,0.907448,0.941243,0.856265,0.887334,0.862826,0.872301,0.988545,0.724678,0.923681,0.866845,0.983418,0.849912,0.767875,0.704684,0.824383,0.949213,0.989737,0.925974,0.884618,0.885685,0.871673,0.907107,0.883026,0.879767,0.944620,0.915037,0.855234,0.896769,0.867066
dative_passive,0.935502,0.973228,0.850441,0.950888,0.870039,0.954047,0.476033,0.963924,0.944524,1.000000,0.799644,0.893592,0.820991,0.899051,0.900965,0.888665,0.899631,0.961190,0.897192,0.909618,0.950445,0.869678,0.953176,0.706483,0.970962,0.915113,0.936563,0.903063,0.858876,0.815961,0.903408,0.975315,0.943695,0.896481,0.908175,0.899448,0.932930,0.971928,0.911154,0.935033,0.971875,0.877344,0.939394,0.871990,0.833482
