model,category,subtype,pair,layer,patch_type,alpha,progress,kl_ratio,logit_delta_ratio,patch_norm,a_ref_norm,b_ref_norm,norm_ratio_to_a,norm_ratio_to_b,norm_z,max_abs_norm_z,finite,off_manifold,high_progress,over_conversion,negative_progress,labels
qwen3,coreference,deictic_switch,coref_this_that_plan,0,resid_in,1.000000,1.000015,-0.000000,1.000000,2.948946,2.955622,2.948941,0.997741,1.000002,0.405738,0.405738,1.000000,0.000000,1.000000,0.000000,0.000000,on_manifold_high_progress
qwen3,coreference,deictic_switch,coref_this_that_plan,0,resid_out,1.000000,1.000015,-0.000000,1.000000,27.791937,30.401905,27.791906,0.914151,1.000001,0.203612,0.203612,1.000000,0.000000,1.000000,0.000000,0.000000,on_manifold_high_progress
qwen3,coreference,deictic_switch,coref_this_that_plan,1,resid_in,1.000000,1.000015,-0.000000,1.000000,27.791937,30.401905,27.791906,0.914151,1.000001,0.203612,0.203612,1.000000,0.000000,1.000000,0.000000,0.000000,on_manifold_high_progress
qwen3,coreference,deictic_switch,coref_this_that_plan,1,resid_out,1.000000,1.000015,-0.000000,1.000000,57.392902,58.716427,57.392941,0.977459,0.999999,-0.862618,0.862618,1.000000,0.000000,1.000000,0.000000,0.000000,on_manifold_high_progress
qwen3,coreference,deictic_switch,coref_this_that_plan,2,resid_in,1.000000,1.000015,-0.000000,1.000000,57.392902,58.716427,57.392941,0.977459,0.999999,-0.862618,0.862618,1.000000,0.000000,1.000000,0.000000,0.000000,on_manifold_high_progress
qwen3,coreference,deictic_switch,coref_this_that_plan,2,resid_out,1.000000,1.000015,-0.000000,1.000000,66.648827,69.294975,66.648849,0.961813,1.000000,-0.939530,0.939530,1.000000,0.000000,1.000000,0.000000,0.000000,on_manifold_high_progress
qwen3,coreference,deictic_switch,coref_this_that_plan,3,resid_in,1.000000,1.000015,-0.000000,1.000000,66.648827,69.294975,66.648849,0.961813,1.000000,-0.939530,0.939530,1.000000,0.000000,1.000000,0.000000,0.000000,on_manifold_high_progress
qwen3,coreference,deictic_switch,coref_this_that_plan,3,resid_out,1.000000,1.000015,-0.000000,1.000000,69.190865,72.197662,69.190834,0.958353,1.000000,-0.970878,0.970878,1.000000,0.000000,1.000000,0.000000,0.000000,on_manifold_high_progress
qwen3,coreference,deictic_switch,coref_this_that_plan,4,resid_in,1.000000,1.000015,-0.000000,1.000000,69.190865,72.197662,69.190834,0.958353,1.000000,-0.970878,0.970878,1.000000,0.000000,1.000000,0.000000,0.000000,on_manifold_high_progress
qwen3,coreference,deictic_switch,coref_this_that_plan,4,resid_out,1.000000,1.000015,-0.000000,1.000000,79.608566,85.003777,79.608589,0.936530,1.000000,-0.959503,0.959503,1.000000,0.000000,1.000000,0.000000,0.000000,on_manifold_high_progress
qwen3,coreference,deictic_switch,coref_this_that_plan,5,resid_in,1.000000,1.000015,-0.000000,1.000000,79.608566,85.003777,79.608589,0.936530,1.000000,-0.959503,0.959503,1.000000,0.000000,1.000000,0.000000,0.000000,on_manifold_high_progress
qwen3,coreference,deictic_switch,coref_this_that_plan,5,resid_out,1.000000,1.000015,-0.000000,1.000000,84.891724,91.903442,84.891640,0.923706,1.000001,-0.848346,0.848346,1.000000,0.000000,1.000000,0.000000,0.000000,on_manifold_high_progress
