model,layer,patch_type,n_refs,mean,std,min,max
deepseek7b,20,attn_out,488.000000,124.000970,15.524594,88.915031,170.581589
deepseek7b,20,mlp_out,488.000000,406.341216,147.453797,189.212784,910.673462
deepseek7b,20,resid_in,488.000000,46380.381092,3344.138884,40062.347656,55538.640625
deepseek7b,20,resid_out,488.000000,46321.663414,3362.549170,40024.867188,55490.574219
deepseek7b,21,attn_out,488.000000,176.786097,27.814167,116.420563,270.812866
deepseek7b,21,mlp_out,488.000000,289.581968,57.120712,149.813324,430.741638
deepseek7b,21,resid_in,488.000000,46321.663414,3362.549170,40024.867188,55490.574219
deepseek7b,21,resid_out,488.000000,46283.418929,3379.561139,40020.449219,55483.550781
deepseek7b,22,attn_out,488.000000,167.527380,31.093403,104.018700,272.713867
deepseek7b,22,mlp_out,488.000000,433.753728,90.710062,203.653717,651.746338
deepseek7b,22,resid_in,488.000000,46283.418929,3379.561139,40020.449219,55483.550781
deepseek7b,22,resid_out,488.000000,46256.514785,3392.371620,40013.863281,55476.660156
deepseek7b,23,attn_out,488.000000,225.101274,45.436747,137.857758,365.970123
deepseek7b,23,mlp_out,488.000000,558.291070,109.239510,277.326477,882.315979
deepseek7b,23,resid_in,488.000000,46256.514785,3392.371620,40013.863281,55476.660156
deepseek7b,23,resid_out,488.000000,46114.978356,3390.342060,39915.046875,55328.800781
deepseek7b,24,attn_out,488.000000,270.832463,38.139507,189.936462,388.452820
deepseek7b,24,mlp_out,488.000000,759.881931,88.585319,518.175903,996.687622
deepseek7b,24,resid_in,488.000000,46114.978356,3390.342060,39915.046875,55328.800781
deepseek7b,24,resid_out,488.000000,45641.097592,3356.458246,39534.652344,54793.820312
deepseek7b,25,attn_out,488.000000,262.741418,43.274253,169.571686,386.044983
deepseek7b,25,mlp_out,488.000000,2781.002674,230.640260,2340.227783,3278.035156
deepseek7b,25,resid_in,488.000000,45641.097592,3356.458246,39534.652344,54793.820312
deepseek7b,25,resid_out,488.000000,43633.431408,3194.968061,37886.128906,52434.093750
deepseek7b,26,attn_out,488.000000,314.007410,43.998526,226.514999,519.296265
deepseek7b,26,mlp_out,488.000000,17406.057425,1199.215878,13626.393555,18990.373047
deepseek7b,26,resid_in,488.000000,43633.431408,3194.968061,37886.128906,52434.093750
deepseek7b,26,resid_out,488.000000,27746.714924,2078.605121,25171.185547,34600.031250
deepseek7b,27,attn_out,488.000000,11721.857228,1143.358477,8801.186523,17335.945312
deepseek7b,27,mlp_out,488.000000,5656.124024,480.068899,4130.718262,7773.186035
deepseek7b,27,resid_in,488.000000,27746.714924,2078.605121,25171.185547,34600.031250
deepseek7b,27,resid_out,488.000000,21510.686936,1511.264159,19464.279297,27212.423828
glm4,0,attn_out,488.000000,0.850110,0.068339,0.713291,1.132458
glm4,0,mlp_out,488.000000,8.051899,0.028236,8.004459,8.157547
glm4,0,resid_in,488.000000,0.289128,0.039637,0.214882,0.428134
glm4,0,resid_out,488.000000,8.250654,0.033527,8.187968,8.365625
glm4,1,attn_out,488.000000,0.546540,0.081057,0.397701,0.830149
glm4,1,mlp_out,488.000000,7.241050,0.027873,7.187087,7.344472
glm4,1,resid_in,488.000000,8.250654,0.033527,8.187968,8.365625
glm4,1,resid_out,488.000000,14.814747,0.042699,14.733068,14.976781
glm4,2,attn_out,488.000000,0.577641,0.117592,0.313064,0.915785
glm4,2,mlp_out,488.000000,1.605235,0.176920,1.219034,2.246053
glm4,2,resid_in,488.000000,14.814747,0.042699,14.733068,14.976781
glm4,2,resid_out,488.000000,15.634240,0.078113,15.478306,15.907622
glm4,3,attn_out,488.000000,0.847588,0.179324,0.457133,1.433948
glm4,3,mlp_out,488.000000,1.738074,0.229923,1.276848,2.388879
glm4,3,resid_in,488.000000,15.634240,0.078113,15.478306,15.907622
glm4,3,resid_out,488.000000,15.790559,0.145992,15.503854,16.259699
glm4,4,attn_out,488.000000,1.811490,0.173517,1.441334,2.363480
glm4,4,mlp_out,488.000000,249.615170,0.152218,247.939651,249.634476
glm4,4,resid_in,488.000000,15.790559,0.145992,15.503854,16.259699
glm4,4,resid_out,488.000000,253.616100,0.148686,251.978180,253.670303
glm4,5,attn_out,488.000000,1.176824,0.245412,0.676379,1.917049
glm4,5,mlp_out,488.000000,16.203867,0.055340,16.087856,16.408316
glm4,5,resid_in,488.000000,253.616100,0.148686,251.978180,253.670303
glm4,5,resid_out,488.000000,265.418820,0.147372,263.797882,265.482697
glm4,6,attn_out,488.000000,1.341666,0.278622,0.826545,2.263044
glm4,6,mlp_out,488.000000,9.144001,0.144356,8.858589,9.735264
glm4,6,resid_in,488.000000,265.418820,0.147372,263.797882,265.482697
glm4,6,resid_out,488.000000,271.241962,0.145760,269.652588,271.320557
glm4,7,attn_out,488.000000,1.659954,0.389252,0.890995,2.921170
glm4,7,mlp_out,488.000000,26.423050,0.076762,26.269108,26.689165
glm4,7,resid_in,488.000000,271.241962,0.145760,269.652588,271.320557
glm4,7,resid_out,488.000000,293.285910,0.143479,291.728455,293.389648
glm4,8,attn_out,488.000000,2.152818,0.491441,1.142304,3.998327
glm4,8,mlp_out,488.000000,27.280390,0.093308,27.099073,27.620903
glm4,8,resid_in,488.000000,293.285910,0.143479,291.728455,293.389648
glm4,8,resid_out,488.000000,316.120406,0.141527,314.609863,316.247528
qwen3,0,attn_out,488.000000,9.302177,1.696515,4.626769,14.231830
qwen3,0,mlp_out,488.000000,21.507329,3.021771,14.310662,31.818214
qwen3,0,resid_in,488.000000,2.777800,0.421814,1.907882,3.943152
qwen3,0,resid_out,488.000000,27.024357,3.769820,17.518230,37.539520
qwen3,1,attn_out,488.000000,9.766601,1.186560,7.217368,13.475100
qwen3,1,mlp_out,488.000000,60.540137,22.051122,21.937778,106.991745
qwen3,1,resid_in,488.000000,27.024357,3.769820,17.518230,37.539520
qwen3,1,resid_out,488.000000,76.631527,22.302600,37.626041,128.504700
qwen3,2,attn_out,488.000000,6.747874,1.480854,3.765239,10.765161
qwen3,2,mlp_out,488.000000,18.117646,3.858401,8.565639,31.622259
qwen3,2,resid_in,488.000000,76.631527,22.302600,37.626041,128.504700
qwen3,2,resid_out,488.000000,91.022776,25.942714,43.861698,151.612686
qwen3,3,attn_out,488.000000,7.976043,1.737221,4.678681,13.211384
qwen3,3,mlp_out,488.000000,16.544897,4.398271,8.498756,39.206947
qwen3,3,resid_in,488.000000,91.022776,25.942714,43.861698,151.612686
qwen3,3,resid_out,488.000000,95.257151,26.848153,54.312206,160.271942
qwen3,4,attn_out,488.000000,9.646330,2.298450,4.864743,15.577352
qwen3,4,mlp_out,488.000000,26.673341,4.594186,17.116730,40.715927
qwen3,4,resid_in,488.000000,95.257151,26.848153,54.312206,160.271942
qwen3,4,resid_out,488.000000,104.345851,25.781350,61.185940,168.243759
qwen3,5,attn_out,488.000000,13.771327,2.769560,7.967934,20.809349
qwen3,5,mlp_out,488.000000,37.631148,5.845214,24.593941,55.008648
qwen3,5,resid_in,488.000000,104.345851,25.781350,61.185940,168.243759
qwen3,5,resid_out,488.000000,105.937058,24.807477,55.030334,169.577606
qwen3,6,attn_out,488.000000,68.858373,22.255717,29.563938,120.398865
qwen3,6,mlp_out,488.000000,7934.070367,1281.640625,6471.188965,11277.563477
qwen3,6,resid_in,488.000000,105.937058,24.807477,55.030334,169.577606
qwen3,6,resid_out,488.000000,7934.241446,1281.760182,6471.171387,11277.943359
qwen3,7,attn_out,488.000000,15.275092,3.661710,7.266894,25.732058
qwen3,7,mlp_out,488.000000,38.500426,6.670987,22.664572,57.591946
