`torch_dtype` is deprecated! Use `dtype` instead!
[2026-06-12 17:41:08] Failed loading glm4 with flash_attention_2: FlashAttention2 has been toggled on, but it cannot be used due to the following error: the package for FlashAttention2 doesn't seem to be installed.
Loading weights:   0%|          | 0/443 [00:00<?, ?it/s]Loading weights:   0%|          | 2/443 [00:00<00:48,  9.14it/s]Loading weights:   4%|▍         | 19/443 [00:00<00:06, 68.46it/s]Loading weights:  14%|█▎        | 60/443 [00:00<00:02, 179.63it/s]Loading weights:  21%|██        | 93/443 [00:00<00:01, 217.68it/s]Loading weights:  28%|██▊       | 125/443 [00:00<00:01, 245.99it/s]Loading weights:  36%|███▌      | 159/443 [00:00<00:01, 267.00it/s]Loading weights:  43%|████▎     | 192/443 [00:00<00:00, 281.21it/s]Loading weights:  51%|█████     | 225/443 [00:00<00:00, 289.82it/s]Loading weights:  58%|█████▊    | 255/443 [00:01<00:00, 286.03it/s]Loading weights:  65%|██████▌   | 290/443 [00:01<00:00, 300.85it/s]Loading weights:  73%|███████▎  | 323/443 [00:01<00:00, 304.81it/s]Loading weights:  80%|████████  | 356/443 [00:01<00:00, 309.46it/s]Loading weights:  88%|████████▊ | 390/443 [00:01<00:00, 315.32it/s]Loading weights:  95%|█████████▌| 423/443 [00:01<00:00, 316.79it/s]Loading weights: 100%|██████████| 443/443 [00:01<00:00, 267.82it/s]
[2026-06-12 17:41:09] Loaded glm4 with attn_impl=sdpa
[2026-06-12 17:41:09] Phase98 model=glm4 items=105 layers=[39] positions=['prompt_tail', 'last4'] donors=['same_slot_diff_target']
[2026-06-12 17:49:25] model=glm4 layer=L39 head=0/31 pos=prompt_tail item=35/105 rows=70 elapsed=495s
[2026-06-12 17:49:40] model=glm4 layer=L39 head=0/31 pos=prompt_tail item=70/105 rows=140 elapsed=511s
[2026-06-12 17:49:55] model=glm4 layer=L39 head=0/31 pos=prompt_tail item=105/105 rows=210 elapsed=526s
[2026-06-12 17:50:10] model=glm4 layer=L39 head=0/31 pos=last4 item=35/105 rows=280 elapsed=541s
[2026-06-12 17:50:26] model=glm4 layer=L39 head=0/31 pos=last4 item=70/105 rows=350 elapsed=556s
[2026-06-12 17:50:41] model=glm4 layer=L39 head=0/31 pos=last4 item=105/105 rows=420 elapsed=571s
[2026-06-12 17:50:56] model=glm4 layer=L39 head=1/31 pos=prompt_tail item=35/105 rows=490 elapsed=587s
[2026-06-12 17:51:11] model=glm4 layer=L39 head=1/31 pos=prompt_tail item=70/105 rows=560 elapsed=602s
[2026-06-12 17:51:26] model=glm4 layer=L39 head=1/31 pos=prompt_tail item=105/105 rows=630 elapsed=617s
[2026-06-12 17:51:42] model=glm4 layer=L39 head=1/31 pos=last4 item=35/105 rows=700 elapsed=632s
[2026-06-12 17:51:57] model=glm4 layer=L39 head=1/31 pos=last4 item=70/105 rows=770 elapsed=647s
[2026-06-12 17:52:12] model=glm4 layer=L39 head=1/31 pos=last4 item=105/105 rows=840 elapsed=663s
[2026-06-12 17:52:27] model=glm4 layer=L39 head=2/31 pos=prompt_tail item=35/105 rows=910 elapsed=678s
